nitrogen,potassium,phosphorus,temperature,humidity,moisture,crop,soil_type,fertilizer_name,ph,organic_carbon,region,date,ec,nitrogen_is_zero,nitrogen_was_missing,phosphorus_is_zero,phosphorus_was_missing,potassium_is_zero,potassium_was_missing
38,0,4,22.59,45.7,33.13,Maize,Black,14-35-14,,,,,,0,0,0,0,1,0
26,2,22,27.69,55.55,27.9,Sugarcane,Red,20-20,,,,,,0,0,0,0,0,0
6,1,14,24.27,52.43,62.34,Millets,Loamy,DAP,,,,,,0,0,0,0,0,0
9,3,11,30.42,50.01,26.27,Ground Nuts,Black,28-28,,,,,,0,0,0,0,0,0
13,0,35,31.52,44.64,42.86,Barley,Red,28-28,,,,,,0,0,0,0,1,0
12,4,13,30.64,57.57,46.45,Wheat,Red,20-20,,,,,,0,0,0,0,0,0
15,0,16,22.17,47.78,43.03,Paddy,Clayey,28-28,,,,,,0,0,0,0,1,0
5,10,32,36.5,65.85,42.33,Maize,Loamy,10-26-26,,,,,,0,0,0,0,0,0
8,4,6,35.13,65.69,37.76,Maize,Black,28-28,,,,,,0,0,0,0,0,0
6,14,10,24.82,53.75,47.97,Ground Nuts,Black,DAP,,,,,,0,0,0,0,0,0
10,0,12,29.46,59.4,49.1,Ground Nuts,Clayey,28-28,,,,,,0,0,0,0,1,0
10,5,31,32.45,60.24,55.92,Millets,Sandy,28-28,,,,,,0,0,0,0,0,0
15,4,39,37.34,63.39,25.36,Paddy,Red,14-35-14,,,,,,0,0,0,0,0,0
12,0,37,31.9,55.45,59.87,Barley,Sandy,14-35-14,,,,,,0,0,0,0,1,0
35,0,0,29.67,58.75,40.69,Sugarcane,Sandy,Urea,,,,,,0,0,1,0,1,0
23,0,15,32.2,50.72,39.63,Ground Nuts,Clayey,28-28,,,,,,0,0,0,0,1,0
6,0,41,29.24,62.15,51.65,Millets,Black,10-26-26,,,,,,0,0,0,0,1,0
37,0,1,34.15,71.16,41.7,Paddy,Red,Urea,,,,,,0,0,0,0,1,0
9,0,35,31.56,55.15,56.8,Barley,Red,DAP,,,,,,0,0,0,0,1,0
11,0,14,34.15,63.96,47.64,Barley,Red,14-35-14,,,,,,0,0,0,0,1,0
9,4,18,30.7,57.71,38.36,Wheat,Sandy,28-28,,,,,,0,0,0,0,0,0
23,2,22,34.89,53.79,37.58,Ground Nuts,Red,Urea,,,,,,0,0,0,0,0,0
37,0,0,23.75,61.43,52.94,Ground Nuts,Black,DAP,,,,,,0,0,1,0,1,0
13,0,10,25.36,50.91,24.39,Wheat,Loamy,20-20,,,,,,0,0,0,0,1,0
39,0,0,36.35,61.89,65.38,Sugarcane,Black,DAP,,,,,,0,0,1,0,1,0
24,0,21,21.91,46.66,45.27,Millets,Black,14-35-14,,,,,,0,0,0,0,1,0
8,0,12,28.93,50.28,20.33,Wheat,Red,Urea,,,,,,0,0,0,0,1,0
7,6,34,30.06,53.68,70.0,Maize,Sandy,20-20,,,,,,0,0,0,0,0,0
19,0,22,29.38,60.44,45.57,Millets,Clayey,14-35-14,,,,,,0,0,0,0,1,0
20,0,19,30.2,51.16,32.5,Barley,Red,DAP,,,,,,0,0,0,0,1,0
11,0,9,32.46,68.2,64.77,Sugarcane,Sandy,14-35-14,,,,,,0,0,0,0,1,0
11,0,35,37.9,75.51,25.35,Ground Nuts,Clayey,DAP,,,,,,0,0,0,0,1,0
17,0,15,31.75,62.4,34.97,Wheat,Black,Urea,,,,,,0,0,0,0,1,0
15,0,40,26.71,55.89,69.87,Paddy,Loamy,14-35-14,,,,,,0,0,0,0,1,0
17,0,20,29.73,58.67,29.64,Barley,Red,17-17-17,,,,,,0,0,0,0,1,0
8,13,12,25.93,54.07,23.84,Maize,Loamy,14-35-14,,,,,,0,0,0,0,0,0
11,1,12,26.47,55.37,59.34,Maize,Sandy,20-20,,,,,,0,0,0,0,0,0
18,0,42,21.92,53.0,33.57,Barley,Black,17-17-17,,,,,,0,0,0,0,1,0
9,4,10,29.55,45.99,50.06,Sugarcane,Red,10-26-26,,,,,,0,0,0,0,0,0
21,4,24,31.27,62.18,32.06,Paddy,Sandy,14-35-14,,,,,,0,0,0,0,0,0
10,1,32,32.51,61.45,70.0,Ground Nuts,Loamy,Urea,,,,,,0,0,0,0,0,0
10,9,18,28.02,54.85,55.71,Sugarcane,Sandy,20-20,,,,,,0,0,0,0,0,0
37,0,1,28.66,56.26,39.29,Sugarcane,Black,DAP,,,,,,0,0,0,0,1,0
22,0,26,30.85,70.39,29.35,Millets,Black,10-26-26,,,,,,0,0,0,0,1,0
18,4,23,22.33,56.84,29.98,Ground Nuts,Black,14-35-14,,,,,,0,0,0,0,0,0
41,0,2,28.27,52.86,22.36,Ground Nuts,Clayey,10-26-26,,,,,,0,0,0,0,1,0
17,0,12,33.27,67.2,40.49,Paddy,Loamy,10-26-26,,,,,,0,0,0,0,1,0
10,0,32,38.53,70.2,28.94,Millets,Loamy,17-17-17,,,,,,0,0,0,0,1,0
38,0,2,23.66,55.66,31.32,Wheat,Red,20-20,,,,,,0,0,0,0,1,0
9,0,16,35.01,71.58,39.2,Wheat,Black,14-35-14,,,,,,0,0,0,0,1,0
12,2,31,36.92,69.78,32.64,Maize,Clayey,14-35-14,,,,,,0,0,0,0,0,0
6,2,13,27.77,42.89,59.1,Barley,Red,Urea,,,,,,0,0,0,0,0,0
15,4,45,37.27,64.08,36.28,Barley,Red,20-20,,,,,,0,0,0,0,0,0
37,0,0,29.95,61.75,36.58,Sugarcane,Black,28-28,,,,,,0,0,1,0,1,0
26,0,21,24.97,59.24,47.46,Paddy,Sandy,20-20,,,,,,0,0,0,0,1,0
18,0,36,27.68,61.68,59.47,Paddy,Clayey,17-17-17,,,,,,0,0,0,0,1,0
16,0,38,33.71,59.42,29.32,Barley,Black,14-35-14,,,,,,0,0,0,0,1,0
3,12,31,37.36,59.64,53.7,Millets,Loamy,10-26-26,,,,,,0,0,0,0,0,0
35,0,2,32.22,56.29,48.76,Maize,Black,10-26-26,,,,,,0,0,0,0,1,0
31,3,0,32.35,48.81,46.33,Paddy,Loamy,20-20,,,,,,0,0,1,0,0,0
8,22,18,30.61,66.36,42.09,Barley,Red,DAP,,,,,,0,0,0,0,0,0
5,6,26,34.51,54.79,54.12,Maize,Loamy,28-28,,,,,,0,0,0,0,0,0
35,3,2,29.66,43.74,43.31,Paddy,Red,20-20,,,,,,0,0,0,0,0,0
16,0,15,31.75,46.82,37.35,Maize,Red,DAP,,,,,,0,0,0,0,1,0
10,21,13,30.97,58.53,29.79,Wheat,Loamy,17-17-17,,,,,,0,0,0,0,0,0
15,16,10,29.87,63.64,61.4,Wheat,Black,20-20,,,,,,0,0,0,0,0,0
19,0,21,25.09,54.56,34.08,Maize,Red,28-28,,,,,,0,0,0,0,1,0
37,0,0,36.7,70.28,23.31,Ground Nuts,Sandy,10-26-26,,,,,,0,0,1,0,1,0
18,0,45,26.91,44.27,23.76,Barley,Loamy,10-26-26,,,,,,0,0,0,0,1,0
37,4,0,31.98,55.89,57.6,Barley,Red,17-17-17,,,,,,0,0,1,0,0,0
23,1,25,30.46,48.84,33.31,Paddy,Red,14-35-14,,,,,,0,0,0,0,0,0
14,9,32,29.24,54.29,47.85,Paddy,Clayey,Urea,,,,,,0,0,0,0,0,0
12,0,34,31.38,67.84,59.74,Maize,Loamy,10-26-26,,,,,,0,0,0,0,1,0
41,0,1,29.08,54.19,61.72,Maize,Clayey,14-35-14,,,,,,0,0,0,0,1,0
19,15,15,23.18,53.55,20.0,Ground Nuts,Black,17-17-17,,,,,,0,0,0,0,0,0
40,4,0,32.61,54.79,70.0,Barley,Black,Urea,,,,,,0,0,1,0,0,0
9,0,37,36.12,72.17,33.4,Paddy,Sandy,Urea,,,,,,0,0,0,0,1,0
40,3,0,23.88,57.05,35.25,Barley,Loamy,20-20,,,,,,0,0,1,0,0,0
10,8,27,36.46,65.08,43.87,Paddy,Red,10-26-26,,,,,,0,0,0,0,0,0
7,4,45,40.0,77.61,29.53,Sugarcane,Loamy,10-26-26,,,,,,0,0,0,0,0,0
42,0,0,32.0,57.73,35.48,Wheat,Black,10-26-26,,,,,,0,0,1,0,1,0
4,10,26,32.69,69.21,22.19,Sugarcane,Black,20-20,,,,,,0,0,0,0,0,0
14,0,11,29.63,45.37,21.76,Sugarcane,Black,28-28,,,,,,0,0,0,0,1,0
7,11,34,36.56,76.26,36.26,Wheat,Sandy,10-26-26,,,,,,0,0,0,0,0,0
36,3,3,37.66,74.6,28.6,Millets,Black,DAP,,,,,,0,0,0,0,0,0
14,2,37,36.42,75.12,46.56,Ground Nuts,Sandy,DAP,,,,,,0,0,0,0,0,0
8,9,32,29.92,50.41,62.32,Ground Nuts,Clayey,10-26-26,,,,,,0,0,0,0,0,0
8,0,38,31.96,49.13,52.38,Maize,Loamy,10-26-26,,,,,,0,0,0,0,1,0
3,4,31,39.68,75.02,51.69,Barley,Clayey,14-35-14,,,,,,0,0,0,0,0,0
12,0,39,32.74,64.14,68.56,Millets,Red,10-26-26,,,,,,0,0,0,0,1,0
11,0,36,35.12,61.28,35.3,Sugarcane,Red,Urea,,,,,,0,0,0,0,1,0
9,4,38,38.0,61.23,26.32,Wheat,Black,17-17-17,,,,,,0,0,0,0,0,0
38,0,0,36.29,71.0,56.12,Barley,Black,DAP,,,,,,0,0,1,0,1,0
41,3,1,33.01,61.9,32.87,Wheat,Sandy,28-28,,,,,,0,0,0,0,0,0
28,0,27,27.09,64.13,38.0,Paddy,Black,28-28,,,,,,0,0,0,0,1,0
11,0,9,30.15,68.23,37.36,Wheat,Sandy,28-28,,,,,,0,0,0,0,1,0
38,3,0,31.08,61.81,34.73,Wheat,Red,DAP,,,,,,0,0,1,0,0,0
1,17,13,34.99,65.23,27.62,Maize,Clayey,10-26-26,,,,,,0,0,0,0,0,0
3,12,16,28.29,46.16,41.47,Millets,Black,20-20,,,,,,0,0,0,0,0,0
10,2,42,37.61,61.11,36.72,Barley,Loamy,Urea,,,,,,0,0,0,0,0,0
21,0,22,36.02,69.03,54.45,Barley,Sandy,20-20,,,,,,0,0,0,0,1,0
27,0,20,29.85,47.2,57.02,Millets,Sandy,10-26-26,,,,,,0,0,0,0,1,0
5,10,36,26.12,63.44,63.43,Millets,Loamy,DAP,,,,,,0,0,0,0,0,0
5,3,5,34.94,57.44,52.37,Wheat,Sandy,DAP,,,,,,0,0,0,0,0,0
16,4,36,31.59,63.18,56.9,Paddy,Black,10-26-26,,,,,,0,0,0,0,0,0
11,0,42,37.33,67.17,37.59,Maize,Loamy,10-26-26,,,,,,0,0,0,0,1,0
43,2,2,33.56,66.29,26.04,Wheat,Clayey,14-35-14,,,,,,0,0,0,0,0,0
25,0,22,30.78,50.3,52.95,Barley,Clayey,20-20,,,,,,0,0,0,0,1,0
10,7,26,32.39,66.19,63.37,Ground Nuts,Clayey,10-26-26,,,,,,0,0,0,0,0,0
23,2,22,31.26,67.75,26.57,Barley,Black,Urea,,,,,,0,0,0,0,0,0
9,8,32,38.04,69.01,42.8,Ground Nuts,Red,10-26-26,,,,,,0,0,0,0,0,0
12,1,44,32.73,62.66,34.5,Paddy,Red,17-17-17,,,,,,0,0,0,0,0,0
37,0,4,27.79,60.14,41.16,Paddy,Clayey,10-26-26,,,,,,0,0,0,0,1,0
12,7,32,34.04,65.18,55.33,Ground Nuts,Black,28-28,,,,,,0,0,0,0,0,0
8,20,21,36.08,74.86,38.71,Wheat,Red,10-26-26,,,,,,0,0,0,0,0,0
14,3,36,32.57,62.47,37.05,Millets,Sandy,Urea,,,,,,0,0,0,0,0,0
38,0,4,32.53,51.27,44.71,Ground Nuts,Sandy,14-35-14,,,,,,0,0,0,0,1,0
26,0,25,25.19,60.71,52.06,Paddy,Red,14-35-14,,,,,,0,0,0,0,1,0
36,0,4,28.66,47.45,44.04,Wheat,Loamy,20-20,,,,,,0,0,0,0,1,0
9,14,12,24.59,58.22,64.12,Paddy,Sandy,10-26-26,,,,,,0,0,0,0,0,0
10,0,12,28.24,54.62,35.02,Wheat,Clayey,DAP,,,,,,0,0,0,0,1,0
18,3,17,33.95,61.0,45.29,Maize,Clayey,17-17-17,,,,,,0,0,0,0,0,0
11,4,27,33.88,59.02,35.32,Sugarcane,Clayey,DAP,,,,,,0,0,0,0,0,0
36,0,4,33.25,69.66,51.62,Maize,Sandy,Urea,,,,,,0,0,0,0,1,0
41,0,4,37.68,62.61,54.72,Ground Nuts,Black,Urea,,,,,,0,0,0,0,1,0
24,0,16,30.29,58.63,51.24,Ground Nuts,Loamy,17-17-17,,,,,,0,0,0,0,1,0
8,0,40,27.47,53.06,40.0,Paddy,Red,28-28,,,,,,0,0,0,0,1,0
13,10,26,24.38,52.09,25.67,Sugarcane,Loamy,28-28,,,,,,0,0,0,0,0,0
9,0,10,27.41,52.54,41.48,Barley,Black,Urea,,,,,,0,0,0,0,1,0
12,0,34,32.64,77.53,39.18,Maize,Clayey,20-20,,,,,,0,0,0,0,1,0
18,0,29,27.61,71.93,41.84,Barley,Red,17-17-17,,,,,,0,0,0,0,1,0
10,0,17,36.71,76.2,24.17,Barley,Sandy,14-35-14,,,,,,0,0,0,0,1,0
23,0,26,31.97,57.04,39.26,Maize,Loamy,10-26-26,,,,,,0,0,0,0,1,0
15,0,41,30.86,66.38,42.56,Sugarcane,Clayey,14-35-14,,,,,,0,0,0,0,1,0
12,0,37,29.81,63.42,20.0,Millets,Loamy,10-26-26,,,,,,0,0,0,0,1,0
34,2,1,30.18,68.42,36.95,Barley,Clayey,17-17-17,,,,,,0,0,0,0,0,0
4,9,28,37.04,68.38,51.4,Maize,Red,28-28,,,,,,0,0,0,0,0,0
24,0,17,26.14,52.36,40.32,Paddy,Clayey,14-35-14,,,,,,0,0,0,0,1,0
5,10,31,25.71,49.13,33.26,Sugarcane,Sandy,14-35-14,,,,,,0,0,0,0,0,0
39,1,4,30.12,69.25,21.43,Paddy,Loamy,28-28,,,,,,0,0,0,0,0,0
34,4,0,33.67,68.27,57.75,Millets,Clayey,DAP,,,,,,0,0,1,0,0,0
7,14,16,34.7,66.76,69.2,Sugarcane,Loamy,20-20,,,,,,0,0,0,0,0,0
9,3,13,33.48,62.18,48.6,Wheat,Black,20-20,,,,,,0,0,0,0,0,0
6,4,40,31.74,62.32,52.3,Sugarcane,Loamy,Urea,,,,,,0,0,0,0,0,0
44,0,0,29.56,70.11,44.74,Wheat,Sandy,20-20,,,,,,0,0,1,0,1,0
18,0,33,33.71,58.93,43.88,Barley,Loamy,DAP,,,,,,0,0,0,0,1,0
15,1,7,21.93,44.5,63.49,Maize,Red,14-35-14,,,,,,0,0,0,0,0,0
12,1,40,33.53,60.05,37.18,Maize,Red,20-20,,,,,,0,0,0,0,0,0
17,0,40,25.31,51.61,33.05,Ground Nuts,Red,DAP,,,,,,0,0,0,0,1,0
18,0,42,31.78,65.4,52.23,Ground Nuts,Sandy,10-26-26,,,,,,0,0,0,0,1,0
11,0,42,39.75,60.73,38.94,Millets,Clayey,17-17-17,,,,,,0,0,0,0,1,0
2,19,12,24.06,40.2,34.24,Wheat,Black,10-26-26,,,,,,0,0,0,0,0,0
36,0,3,38.25,74.83,48.66,Sugarcane,Clayey,17-17-17,,,,,,0,0,0,0,1,0
36,0,0,40.0,64.51,51.07,Millets,Red,28-28,,,,,,0,0,1,0,1,0
12,3,30,35.73,71.25,45.65,Millets,Clayey,20-20,,,,,,0,0,0,0,0,0
40,0,2,31.33,52.44,48.45,Maize,Black,DAP,,,,,,0,0,0,0,1,0
