Nitrogen,Potassium,Phosphorous,Temparature,Humidity,Moisture,Crop Type,soil_type,fertilizer_name
37,0,0,27.0,53.0,35.0,Oil seeds,Black,Urea
15,0,40,36.0,68.0,62.0,Cotton,Red,DAP
9,0,13,34.0,65.0,57.0,Sugarcane,Black,20-20
8,8,33,29.0,58.0,55.0,Sugarcane,Loamy,14-35-14
6,19,16,25.0,50.0,40.0,Pulses,Clayey,10-26-26
10,0,14,30.0,60.0,38.0,Millets,Sandy,20-20
21,0,23,26.0,52.0,39.0,Pulses,Clayey,28-28
39,0,0,31.0,62.0,32.0,Tobacco,Red,Urea
23,0,19,34.0,65.0,48.0,Wheat,Loamy,28-28
42,0,0,27.0,53.0,34.0,Oil seeds,Black,Urea
13,0,39,33.0,64.0,31.0,Ground Nuts,Red,DAP
9,10,22,29.0,58.0,42.0,Paddy,Clayey,14-35-14
22,0,21,30.0,60.0,47.0,Maize,Sandy,28-28
10,0,15,27.0,53.0,59.0,Sugarcane,Loamy,20-20
7,16,20,26.0,52.0,36.0,Pulses,Clayey,10-26-26
14,0,38,34.0,65.0,63.0,Cotton,Red,DAP
10,8,29,28.0,54.0,43.0,Paddy,Clayey,14-35-14
41,0,0,30.0,60.0,40.0,Millets,Sandy,Urea
14,0,35,29.0,58.0,65.0,Cotton,Black,DAP
11,0,9,26.0,52.0,59.0,Sugarcane,Loamy,20-20
21,0,28,31.0,62.0,44.0,Barley,Sandy,28-28
8,7,31,35.0,67.0,28.0,Pulses,Clayey,14-35-14
13,17,16,29.0,58.0,30.0,Tobacco,Red,10-26-26
35,0,0,27.0,53.0,30.0,Millets,Black,Urea
12,18,19,36.0,68.0,50.0,Wheat,Loamy,10-26-26
11,0,38,29.0,58.0,61.0,Cotton,Loamy,DAP
8,9,30,30.0,60.0,26.0,Oil seeds,Black,14-35-14
6,19,21,34.0,65.0,45.0,Paddy,Clayey,10-26-26
41,0,0,36.0,68.0,41.0,Ground Nuts,Red,Urea
9,10,30,28.0,54.0,25.0,Maize,Sandy,14-35-14
24,0,19,25.0,50.0,32.0,Pulses,Clayey,28-28
4,17,17,30.0,60.0,27.0,Tobacco,Red,10-26-26
39,0,0,38.0,72.0,51.0,Wheat,Loamy,Urea
15,0,41,36.0,60.0,43.0,Millets,Sandy,DAP
12,0,10,29.0,58.0,57.0,Sugarcane,Black,20-20
20,2,15,27.58,59.21,31.27,Cotton,Loamy,DAP
9,12,14,27.45,66.38,50.14,Millets,Black,28-28
28,0,22,27.25,63.62,40.35,Wheat,Black,Urea
8,9,28,28.84,58.91,33.06,Millets,Clayey,17-17-17
40,2,0,25.86,48.46,46.25,Ground Nuts,Red,28-28
11,0,11,25.59,63.6,46.33,Cotton,Clayey,28-28
6,4,14,29.17,68.19,30.65,Oil seeds,Sandy,Urea
9,14,11,36.05,73.59,58.17,Millets,Red,17-17-17
5,8,30,26.76,64.22,53.63,Ground Nuts,Sandy,28-28
41,0,3,27.66,53.58,40.96,Cotton,Red,20-20
40,0,0,28.27,52.88,43.3,Wheat,Black,10-26-26
8,1,16,38.39,69.51,65.09,Oil seeds,Clayey,Urea
15,0,35,28.74,56.8,54.07,Cotton,Loamy,DAP
19,4,28,30.63,63.88,38.71,Paddy,Loamy,DAP
11,5,12,26.02,52.46,31.12,Barley,Loamy,10-26-26
9,22,21,34.71,64.94,52.62,Oil seeds,Sandy,14-35-14
11,0,8,23.71,51.25,30.5,Oil seeds,Black,17-17-17
37,2,4,30.63,61.45,23.18,Maize,Black,17-17-17
12,13,13,23.63,52.62,31.03,Sugarcane,Clayey,14-35-14
16,3,32,27.65,58.09,69.07,Oil seeds,Clayey,10-26-26
12,0,36,31.19,60.94,30.51,Paddy,Black,Urea
45,2,0,37.12,72.87,47.06,Tobacco,Sandy,Urea
7,15,16,33.52,60.46,47.85,Pulses,Black,DAP
10,3,31,29.44,59.34,55.51,Sugarcane,Loamy,17-17-17
8,13,28,33.24,69.48,65.48,Cotton,Clayey,10-26-26
2,20,19,20.85,53.18,43.77,Tobacco,Loamy,Urea
11,1,36,38.42,73.97,50.41,Sugarcane,Loamy,DAP
34,0,3,29.04,71.09,21.12,Maize,Sandy,14-35-14
39,0,0,23.59,55.82,62.92,Sugarcane,Red,Urea
11,0,32,38.56,73.46,30.62,Pulses,Black,28-28
15,0,8,30.87,63.94,46.2,Cotton,Sandy,Urea
38,4,0,25.83,51.1,59.57,Maize,Sandy,Urea
14,0,35,34.51,63.92,70.0,Sugarcane,Loamy,17-17-17
18,0,25,31.92,62.59,27.78,Pulses,Sandy,DAP
13,16,11,28.43,58.72,43.9,Sugarcane,Sandy,20-20
4,0,14,27.53,55.04,57.07,Pulses,Sandy,28-28
8,9,18,24.53,67.4,48.49,Paddy,Red,20-20
15,4,33,30.82,51.91,54.23,Wheat,Red,14-35-14
9,15,16,32.53,59.45,20.16,Cotton,Loamy,17-17-17
12,8,33,28.17,58.69,34.11,Cotton,Sandy,20-20
35,0,0,29.25,54.52,41.4,Paddy,Clayey,28-28
6,16,17,22.26,51.36,48.36,Tobacco,Loamy,Urea
41,3,4,30.76,66.64,56.32,Ground Nuts,Red,28-28
7,11,20,27.84,66.53,36.89,Sugarcane,Loamy,Urea
7,11,31,29.21,64.21,54.95,Wheat,Red,14-35-14
11,13,15,26.01,59.52,35.75,Pulses,Loamy,28-28
23,0,23,29.5,55.42,51.17,Cotton,Red,10-26-26
40,0,0,32.98,62.02,33.12,Wheat,Red,10-26-26
38,0,1,24.24,59.04,50.07,Barley,Loamy,Urea
21,3,20,33.54,59.28,52.09,Wheat,Clayey,20-20
35,4,0,34.43,72.28,62.22,Ground Nuts,Clayey,17-17-17
15,0,33,32.19,68.94,67.37,Barley,Sandy,20-20
5,7,32,32.55,71.46,67.14,Oil seeds,Clayey,20-20
13,0,38,28.38,52.02,43.83,Wheat,Loamy,10-26-26
36,0,0,25.4,43.57,38.51,Maize,Red,28-28
12,15,15,33.8,52.28,53.31,Millets,Clayey,28-28
20,0,20,28.38,47.58,34.86,Paddy,Black,28-28
23,2,16,28.37,59.8,35.35,Oil seeds,Black,17-17-17
1,14,22,30.08,73.84,41.22,Sugarcane,Sandy,10-26-26
31,1,0,34.95,64.93,62.63,Wheat,Clayey,14-35-14
20,0,21,35.56,74.88,52.16,Cotton,Clayey,14-35-14
7,1,7,24.05,52.76,58.9,Oil seeds,Sandy,DAP
11,3,14,23.42,53.65,69.68,Barley,Sandy,20-20
17,0,31,31.68,62.14,42.55,Sugarcane,Black,17-17-17
19,0,19,31.03,69.0,49.46,Maize,Loamy,20-20
5,8,32,31.78,44.27,45.07,Maize,Loamy,DAP
39,0,2,22.3,60.64,40.78,Ground Nuts,Sandy,28-28
8,1,43,26.39,52.62,22.27,Cotton,Sandy,17-17-17
13,4,39,29.36,64.39,20.0,Tobacco,Red,10-26-26
13,0,8,26.67,47.94,34.08,Sugarcane,Black,DAP
12,6,30,26.75,56.87,20.0,Barley,Clayey,17-17-17
24,0,17,30.64,65.77,32.86,Sugarcane,Clayey,17-17-17
26,0,21,29.89,48.59,38.0,Pulses,Clayey,28-28
8,13,18,28.61,62.22,41.53,Ground Nuts,Loamy,Urea
39,2,0,37.09,63.72,47.99,Sugarcane,Red,17-17-17
37,3,0,21.78,55.6,33.66,Maize,Loamy,10-26-26
2,5,25,30.42,70.37,55.92,Wheat,Red,17-17-17
10,17,12,35.39,52.28,42.97,Pulses,Sandy,10-26-26
3,15,15,30.53,52.17,41.92,Oil seeds,Black,Urea
10,0,34,28.09,56.62,36.14,Ground Nuts,Loamy,20-20
16,3,22,22.95,55.86,31.58,Paddy,Black,28-28
18,1,38,32.06,75.56,55.73,Tobacco,Sandy,17-17-17
11,11,16,38.4,67.88,62.06,Maize,Clayey,28-28
12,13,27,33.59,66.16,69.67,Pulses,Sandy,20-20
10,4,11,26.47,62.91,46.87,Ground Nuts,Sandy,28-28
13,21,14,31.56,58.25,29.12,Oil seeds,Loamy,14-35-14
8,13,32,29.13,56.72,67.72,Ground Nuts,Clayey,17-17-17
36,4,0,23.35,59.98,63.83,Oil seeds,Black,14-35-14
19,0,20,26.75,58.1,39.27,Maize,Clayey,14-35-14
41,0,1,30.42,48.76,42.28,Millets,Red,17-17-17
14,13,8,24.9,51.02,31.9,Ground Nuts,Loamy,17-17-17
34,1,0,27.31,57.3,22.41,Wheat,Loamy,Urea
8,1,9,31.5,74.7,23.25,Ground Nuts,Clayey,DAP
19,0,26,27.63,69.25,41.18,Millets,Loamy,DAP
38,0,4,22.59,45.7,33.13,Maize,Black,14-35-14
11,2,40,35.97,60.1,26.8,Tobacco,Black,20-20
26,2,22,27.69,55.55,27.9,Sugarcane,Red,20-20
6,1,14,24.27,52.43,62.34,Millets,Loamy,DAP
9,3,11,30.42,50.01,26.27,Ground Nuts,Black,28-28
13,0,35,31.52,44.64,42.86,Barley,Red,28-28
12,4,13,30.64,57.57,46.45,Wheat,Red,20-20
15,0,16,22.17,47.78,43.03,Paddy,Clayey,28-28
5,10,32,36.5,65.85,42.33,Maize,Loamy,10-26-26
8,4,6,35.13,65.69,37.76,Maize,Black,28-28
6,14,10,24.82,53.75,47.97,Ground Nuts,Black,DAP
6,0,9,31.24,55.88,37.05,Oil seeds,Sandy,Urea
5,3,14,29.77,46.18,63.79,Cotton,Loamy,10-26-26
35,0,0,25.86,46.65,32.67,Oil seeds,Clayey,17-17-17
44,0,0,30.15,60.77,42.93,Cotton,Clayey,Urea
10,0,12,29.46,59.4,49.1,Ground Nuts,Clayey,28-28
38,0,0,29.37,64.45,64.66,Cotton,Black,10-26-26
19,0,18,23.63,58.75,35.6,Oil seeds,Red,28-28
10,5,31,32.45,60.24,55.92,Millets,Sandy,28-28
15,4,39,37.34,63.39,25.36,Paddy,Red,14-35-14
3,8,34,30.41,67.24,65.58,Cotton,Loamy,17-17-17
12,0,37,31.9,55.45,59.87,Barley,Sandy,14-35-14
16,13,16,35.85,52.79,54.13,Cotton,Clayey,17-17-17
20,0,23,28.87,49.91,35.02,Pulses,Red,10-26-26
9,19,18,26.33,50.2,45.34,Oil seeds,Clayey,10-26-26
35,0,0,29.67,58.75,40.69,Sugarcane,Sandy,Urea
23,0,15,32.2,50.72,39.63,Ground Nuts,Clayey,28-28
6,0,41,29.24,62.15,51.65,Millets,Black,10-26-26
37,0,1,34.15,71.16,41.7,Paddy,Red,Urea
9,0,35,31.56,55.15,56.8,Barley,Red,DAP
9,0,36,24.76,56.88,20.0,Oil seeds,Clayey,10-26-26
11,0,14,34.15,63.96,47.64,Barley,Red,14-35-14
9,4,18,30.7,57.71,38.36,Wheat,Sandy,28-28
23,2,22,34.89,53.79,37.58,Ground Nuts,Red,Urea
13,1,42,26.7,63.42,24.65,Cotton,Sandy,17-17-17
37,0,0,23.75,61.43,52.94,Ground Nuts,Black,DAP
21,0,18,25.73,52.9,46.14,Cotton,Red,20-20
13,0,10,25.36,50.91,24.39,Wheat,Loamy,20-20
39,0,0,36.35,61.89,65.38,Sugarcane,Black,DAP
24,0,21,21.91,46.66,45.27,Millets,Black,14-35-14
10,0,9,26.44,65.84,50.2,Pulses,Clayey,28-28
8,0,12,28.93,50.28,20.33,Wheat,Red,Urea
7,6,34,30.06,53.68,70.0,Maize,Sandy,20-20
16,13,13,35.29,64.13,46.59,Pulses,Clayey,14-35-14
41,2,0,24.61,63.9,70.0,Pulses,Loamy,DAP
19,0,22,29.38,60.44,45.57,Millets,Clayey,14-35-14
20,0,19,30.2,51.16,32.5,Barley,Red,DAP
11,0,9,32.46,68.2,64.77,Sugarcane,Sandy,14-35-14
34,0,4,24.26,53.19,67.73,Oil seeds,Clayey,DAP
11,0,35,37.9,75.51,25.35,Ground Nuts,Clayey,DAP
34,0,2,31.1,55.48,46.43,Cotton,Sandy,Urea
17,0,15,31.75,62.4,34.97,Wheat,Black,Urea
15,11,11,27.29,57.56,53.09,Pulses,Black,20-20
15,0,40,26.71,55.89,69.87,Paddy,Loamy,14-35-14
21,0,18,29.25,56.07,33.6,Oil seeds,Black,DAP
17,0,20,29.73,58.67,29.64,Barley,Red,17-17-17
10,12,18,31.62,57.88,42.77,Oil seeds,Clayey,14-35-14
8,13,12,25.93,54.07,23.84,Maize,Loamy,14-35-14
11,1,12,26.47,55.37,59.34,Maize,Sandy,20-20
18,0,42,21.92,53.0,33.57,Barley,Black,17-17-17
4,0,10,24.35,58.11,34.04,Oil seeds,Clayey,28-28
9,4,10,29.55,45.99,50.06,Sugarcane,Red,10-26-26
33,0,2,28.29,60.24,33.44,Pulses,Black,DAP
11,2,41,31.31,73.26,70.0,Pulses,Loamy,14-35-14
43,0,0,30.05,58.21,23.31,Cotton,Loamy,17-17-17
21,4,24,31.27,62.18,32.06,Paddy,Sandy,14-35-14
10,1,32,32.51,61.45,70.0,Ground Nuts,Loamy,Urea
14,11,13,23.98,44.94,20.0,Oil seeds,Sandy,28-28
39,1,2,30.28,69.29,53.16,Tobacco,Sandy,10-26-26
10,9,18,28.02,54.85,55.71,Sugarcane,Sandy,20-20
37,0,1,28.66,56.26,39.29,Sugarcane,Black,DAP
22,0,26,30.85,70.39,29.35,Millets,Black,10-26-26
13,4,5,24.51,62.55,65.83,Pulses,Loamy,Urea
18,4,23,22.33,56.84,29.98,Ground Nuts,Black,14-35-14
42,1,4,29.75,55.39,28.42,Tobacco,Sandy,14-35-14
41,0,2,28.27,52.86,22.36,Ground Nuts,Clayey,10-26-26
17,0,12,33.27,67.2,40.49,Paddy,Loamy,10-26-26
10,0,32,38.53,70.2,28.94,Millets,Loamy,17-17-17
8,14,31,25.2,60.02,69.92,Oil seeds,Sandy,20-20
38,0,2,23.66,55.66,31.32,Wheat,Red,20-20
9,0,16,35.01,71.58,39.2,Wheat,Black,14-35-14
12,2,31,36.92,69.78,32.64,Maize,Clayey,14-35-14
18,0,19,23.74,47.23,43.64,Tobacco,Red,10-26-26
6,0,11,30.51,48.99,28.68,Tobacco,Black,14-35-14
0,16,19,27.02,68.83,33.05,Tobacco,Black,Urea
6,2,13,27.77,42.89,59.1,Barley,Red,Urea
3,12,30,39.65,63.55,47.33,Cotton,Red,Urea
15,4,45,37.27,64.08,36.28,Barley,Red,20-20
7,0,6,27.93,64.17,62.13,Pulses,Black,20-20
37,0,0,29.95,61.75,36.58,Sugarcane,Black,28-28
26,0,21,24.97,59.24,47.46,Paddy,Sandy,20-20
18,0,36,27.68,61.68,59.47,Paddy,Clayey,17-17-17
2,20,12,23.82,47.74,30.62,Cotton,Black,17-17-17
38,0,0,34.57,69.61,57.23,Pulses,Clayey,DAP
16,0,44,35.1,70.14,56.12,Pulses,Loamy,20-20
16,0,38,33.71,59.42,29.32,Barley,Black,14-35-14
23,0,23,24.75,45.31,49.7,Cotton,Clayey,10-26-26
3,12,31,37.36,59.64,53.7,Millets,Loamy,10-26-26
35,0,2,32.22,56.29,48.76,Maize,Black,10-26-26
31,3,0,32.35,48.81,46.33,Paddy,Loamy,20-20
42,0,0,40.0,80.0,59.99,Cotton,Clayey,10-26-26
33,3,0,25.85,62.32,48.82,Cotton,Red,DAP
8,22,18,30.61,66.36,42.09,Barley,Red,DAP
5,6,26,34.51,54.79,54.12,Maize,Loamy,28-28
35,3,2,29.66,43.74,43.31,Paddy,Red,20-20
16,0,15,31.75,46.82,37.35,Maize,Red,DAP
20,0,17,25.43,68.65,39.28,Oil seeds,Red,10-26-26
10,21,13,30.97,58.53,29.79,Wheat,Loamy,17-17-17
10,12,9,28.58,71.66,46.04,Oil seeds,Red,10-26-26
15,16,10,29.87,63.64,61.4,Wheat,Black,20-20
19,0,21,25.09,54.56,34.08,Maize,Red,28-28
35,2,0,29.76,45.13,30.91,Cotton,Red,DAP
35,3,0,31.38,69.36,35.4,Tobacco,Black,Urea
37,0,0,36.7,70.28,23.31,Ground Nuts,Sandy,10-26-26
18,0,45,26.91,44.27,23.76,Barley,Loamy,10-26-26
7,0,5,30.83,53.08,47.02,Oil seeds,Black,DAP
37,4,0,31.98,55.89,57.6,Barley,Red,17-17-17
23,1,25,30.46,48.84,33.31,Paddy,Red,14-35-14
14,9,32,29.24,54.29,47.85,Paddy,Clayey,Urea
12,0,34,31.38,67.84,59.74,Maize,Loamy,10-26-26
41,0,1,29.08,54.19,61.72,Maize,Clayey,14-35-14
12,10,23,40.0,60.8,50.41,Cotton,Black,10-26-26
19,15,15,23.18,53.55,20.0,Ground Nuts,Black,17-17-17
40,4,0,32.61,54.79,70.0,Barley,Black,Urea
9,0,37,36.12,72.17,33.4,Paddy,Sandy,Urea
40,3,0,23.88,57.05,35.25,Barley,Loamy,20-20
14,0,12,30.78,64.7,35.01,Pulses,Clayey,10-26-26
10,8,27,36.46,65.08,43.87,Paddy,Red,10-26-26
7,4,45,40.0,77.61,29.53,Sugarcane,Loamy,10-26-26
42,0,0,32.0,57.73,35.48,Wheat,Black,10-26-26
4,10,26,32.69,69.21,22.19,Sugarcane,Black,20-20
14,0,11,29.63,45.37,21.76,Sugarcane,Black,28-28
25,0,19,34.22,56.39,49.89,Pulses,Red,14-35-14
7,11,34,36.56,76.26,36.26,Wheat,Sandy,10-26-26
35,1,0,37.0,62.94,55.83,Pulses,Loamy,20-20
36,3,3,37.66,74.6,28.6,Millets,Black,DAP
14,2,37,36.42,75.12,46.56,Ground Nuts,Sandy,DAP
8,9,32,29.92,50.41,62.32,Ground Nuts,Clayey,10-26-26
8,0,38,31.96,49.13,52.38,Maize,Loamy,10-26-26
10,0,43,38.65,62.79,58.95,Cotton,Black,20-20
35,0,1,24.94,50.42,55.75,Tobacco,Red,14-35-14
25,4,22,26.11,52.09,44.94,Pulses,Black,Urea
3,4,31,39.68,75.02,51.69,Barley,Clayey,14-35-14
12,0,39,32.74,64.14,68.56,Millets,Red,10-26-26
14,1,36,25.3,50.31,45.77,Tobacco,Loamy,14-35-14
4,9,26,29.37,61.61,33.0,Oil seeds,Loamy,10-26-26
11,0,36,35.12,61.28,35.3,Sugarcane,Red,Urea
36,0,0,31.57,46.3,28.05,Tobacco,Red,14-35-14
9,4,38,38.0,61.23,26.32,Wheat,Black,17-17-17
38,0,0,36.29,71.0,56.12,Barley,Black,DAP
13,0,38,32.76,61.99,68.62,Pulses,Black,DAP
41,3,1,33.01,61.9,32.87,Wheat,Sandy,28-28
28,0,27,27.09,64.13,38.0,Paddy,Black,28-28
11,0,9,30.15,68.23,37.36,Wheat,Sandy,28-28
12,0,31,31.12,54.41,55.18,Oil seeds,Clayey,DAP
38,3,0,31.08,61.81,34.73,Wheat,Red,DAP
1,17,13,34.99,65.23,27.62,Maize,Clayey,10-26-26
3,12,16,28.29,46.16,41.47,Millets,Black,20-20
10,2,42,37.61,61.11,36.72,Barley,Loamy,Urea
21,0,22,36.02,69.03,54.45,Barley,Sandy,20-20
21,0,22,28.58,41.09,30.84,Tobacco,Red,17-17-17
16,0,39,24.6,52.29,30.92,Tobacco,Black,DAP
13,4,6,29.87,56.39,37.84,Cotton,Sandy,10-26-26
27,0,20,29.85,47.2,57.02,Millets,Sandy,10-26-26
5,10,36,26.12,63.44,63.43,Millets,Loamy,DAP
5,3,5,34.94,57.44,52.37,Wheat,Sandy,DAP
16,4,36,31.59,63.18,56.9,Paddy,Black,10-26-26
11,0,42,37.33,67.17,37.59,Maize,Loamy,10-26-26
37,1,2,24.02,45.09,67.89,Tobacco,Loamy,14-35-14
43,2,2,33.56,66.29,26.04,Wheat,Clayey,14-35-14
25,0,22,30.78,50.3,52.95,Barley,Clayey,20-20
10,7,26,32.39,66.19,63.37,Ground Nuts,Clayey,10-26-26
23,2,22,31.26,67.75,26.57,Barley,Black,Urea
9,8,32,38.04,69.01,42.8,Ground Nuts,Red,10-26-26
12,1,44,32.73,62.66,34.5,Paddy,Red,17-17-17
37,0,4,27.79,60.14,41.16,Paddy,Clayey,10-26-26
44,0,0,32.24,55.75,45.85,Pulses,Black,20-20
12,0,42,31.18,60.59,20.77,Pulses,Black,28-28
12,7,32,34.04,65.18,55.33,Ground Nuts,Black,28-28
11,14,31,28.92,49.12,20.0,Pulses,Black,17-17-17
8,20,21,36.08,74.86,38.71,Wheat,Red,10-26-26
14,3,36,32.57,62.47,37.05,Millets,Sandy,Urea
38,0,4,32.53,51.27,44.71,Ground Nuts,Sandy,14-35-14
26,0,25,25.19,60.71,52.06,Paddy,Red,14-35-14
36,0,4,28.66,47.45,44.04,Wheat,Loamy,20-20
9,14,12,24.59,58.22,64.12,Paddy,Sandy,10-26-26
8,0,37,25.71,59.93,51.81,Tobacco,Clayey,17-17-17
10,0,12,28.24,54.62,35.02,Wheat,Clayey,DAP
18,3,17,33.95,61.0,45.29,Maize,Clayey,17-17-17
11,4,27,33.88,59.02,35.32,Sugarcane,Clayey,DAP
2,9,32,30.87,58.93,70.0,Oil seeds,Clayey,28-28
36,0,4,33.25,69.66,51.62,Maize,Sandy,Urea
4,0,15,30.25,72.59,57.4,Pulses,Black,28-28
7,3,42,31.59,67.65,56.8,Oil seeds,Sandy,Urea
41,0,4,37.68,62.61,54.72,Ground Nuts,Black,Urea
19,0,33,30.23,70.15,26.2,Oil seeds,Red,17-17-17
24,0,16,30.29,58.63,51.24,Ground Nuts,Loamy,17-17-17
8,0,40,27.47,53.06,40.0,Paddy,Red,28-28
19,0,15,29.05,52.0,53.16,Cotton,Black,28-28
2,16,19,22.27,58.06,38.54,Tobacco,Black,28-28
36,0,2,26.4,57.87,57.72,Cotton,Sandy,14-35-14
13,10,26,24.38,52.09,25.67,Sugarcane,Loamy,28-28
5,14,29,33.24,51.28,65.32,Pulses,Black,Urea
9,0,10,27.41,52.54,41.48,Barley,Black,Urea
12,0,34,32.64,77.53,39.18,Maize,Clayey,20-20
18,0,29,27.61,71.93,41.84,Barley,Red,17-17-17
10,0,17,36.71,76.2,24.17,Barley,Sandy,14-35-14
14,2,38,31.72,71.9,41.1,Oil seeds,Clayey,20-20
1,14,17,38.33,70.83,45.85,Cotton,Loamy,Urea
10,0,40,31.36,44.29,43.74,Pulses,Sandy,17-17-17
23,0,26,31.97,57.04,39.26,Maize,Loamy,10-26-26
15,0,41,30.86,66.38,42.56,Sugarcane,Clayey,14-35-14
12,0,37,29.81,63.42,20.0,Millets,Loamy,10-26-26
34,2,1,30.18,68.42,36.95,Barley,Clayey,17-17-17
41,0,4,25.23,62.86,38.43,Cotton,Red,20-20
4,9,28,37.04,68.38,51.4,Maize,Red,28-28
24,0,17,26.14,52.36,40.32,Paddy,Clayey,14-35-14
5,10,31,25.71,49.13,33.26,Sugarcane,Sandy,14-35-14
39,1,4,30.12,69.25,21.43,Paddy,Loamy,28-28
21,2,23,27.34,63.01,48.83,Cotton,Black,10-26-26
40,0,0,30.29,69.44,58.64,Pulses,Clayey,14-35-14
34,4,0,33.67,68.27,57.75,Millets,Clayey,DAP
7,14,16,34.7,66.76,69.2,Sugarcane,Loamy,20-20
9,11,8,34.38,60.73,50.97,Oil seeds,Red,DAP
9,3,13,33.48,62.18,48.6,Wheat,Black,20-20
13,10,30,33.6,60.98,68.08,Tobacco,Clayey,14-35-14
6,4,40,31.74,62.32,52.3,Sugarcane,Loamy,Urea
18,4,27,27.11,49.05,43.91,Oil seeds,Black,20-20
44,0,0,29.56,70.11,44.74,Wheat,Sandy,20-20
18,0,33,33.71,58.93,43.88,Barley,Loamy,DAP
15,1,7,21.93,44.5,63.49,Maize,Red,14-35-14
12,1,40,33.53,60.05,37.18,Maize,Red,20-20
17,0,40,25.31,51.61,33.05,Ground Nuts,Red,DAP
18,0,42,31.78,65.4,52.23,Ground Nuts,Sandy,10-26-26
