Nitrogen,Phosphorus,Potassium,pH,Humidity,Temperature,Crop
74.43,44.8,266.55,5.53,69.23,22.29,Eggplant
56.87,33.0,230.5,6.28,67.41,28.3,Chili
73.58,31.42,184.59,6.78,64.99,21.36,Chili
68.43,46.71,206.75,6.02,71.91,26.68,Chili
44.13,59.92,214.2,6.75,64.39,25.42,Chili
42.33,45.69,218.27,6.39,61.37,26.3,Chili
91.92,43.79,253.58,5.57,66.89,22.47,Eggplant
71.36,34.7,165.12,6.14,62.9,26.37,Chili
76.4,46.2,205.85,6.79,68.22,20.4,Chili
58.87,57.07,269.16,6.52,61.32,23.48,Eggplant
69.4,59.29,241.13,6.39,79.52,20.79,Chili
96.81,40.09,280.06,6.38,68.17,22.93,Eggplant
74.75,52.09,178.99,6.14,78.26,26.87,Chili
92.25,62.15,280.92,6.74,60.49,24.03,Eggplant
45.35,44.01,154.46,6.78,70.51,26.51,Chili
67.6,52.67,290.67,5.78,64.74,27.18,Eggplant
51.97,45.27,205.28,6.32,77.4,27.06,Chili
63.39,50.32,248.66,6.16,72.66,23.96,Chili
60.48,52.07,223.03,6.69,69.71,24.32,Chili
69.93,60.41,221.25,6.67,69.73,23.97,Eggplant
78.58,56.45,207.03,6.49,66.41,26.67,Chili
55.79,41.13,246.81,6.45,71.61,22.6,Chili
58.07,58.56,295.17,5.74,62.46,23.57,Eggplant
57.39,53.04,179.33,6.78,71.63,24.94,Chili
50.95,48.77,255.43,6.36,66.26,28.59,Eggplant
59.35,50.2,264.69,6.79,67.61,26.48,Eggplant
95.47,51.7,288.81,6.14,66.85,24.54,Eggplant
74.77,41.79,208.7,6.55,66.47,29.59,Chili
41.5,48.01,167.99,6.58,78.78,25.05,Chili
64.13,50.4,174.77,6.76,73.31,26.86,Chili
87.69,65.21,270.23,6.18,61.32,28.64,Eggplant
63.98,41.09,222.25,5.6,60.25,22.99,Eggplant
93.82,61.3,271.89,5.76,62.67,28.71,Eggplant
53.82,56.59,244.28,6.36,69.4,20.9,Chili
99.12,51.33,290.76,6.77,65.53,26.2,Eggplant
78.07,63.97,265.7,5.88,62.98,30.7,Eggplant
61.43,51.4,192.47,6.02,71.03,26.57,Chili
74.38,65.25,248.3,5.67,65.54,23.17,Eggplant
54.34,68.87,238.32,6.46,63.92,22.44,Eggplant
86.75,48.43,275.86,5.7,65.57,28.06,Eggplant
57.03,53.43,188.2,6.74,75.19,23.95,Chili
63.8,52.47,202.11,6.34,79.74,29.1,Chili
73.03,66.91,260.59,6.27,66.5,25.34,Eggplant
58.8,69.93,269.58,6.04,66.04,29.03,Eggplant
79.56,31.36,152.34,6.56,63.95,22.3,Chili
50.27,53.46,247.33,5.83,65.07,31.74,Eggplant
65.12,46.11,296.94,6.69,60.76,28.74,Eggplant
72.3,32.51,152.41,6.19,60.04,23.5,Chili
72.58,42.94,263.14,5.56,68.06,29.84,Eggplant
98.81,65.87,256.02,5.99,67.93,27.26,Eggplant
91.79,59.01,261.77,6.4,66.96,25.96,Eggplant
78.82,42.96,213.79,6.53,63.11,31.16,Eggplant
85.55,44.47,210.51,5.78,61.72,26.7,Eggplant
63.38,39.16,218.13,6.28,74.26,23.13,Chili
61.77,50.03,199.26,6.21,77.47,20.18,Chili
79.91,54.21,203.06,6.52,62.45,25.69,Chili
78.43,63.19,252.75,6.68,67.48,24.57,Eggplant
75.11,51.65,172.68,6.72,70.89,28.79,Chili
55.99,62.29,290.15,6.1,66.32,23.55,Eggplant
71.5,46.97,223.46,6.77,69.75,31.3,Eggplant
60.6,40.64,224.6,5.99,68.02,23.23,Eggplant
59.16,53.58,163.33,6.45,77.21,22.89,Chili
53.65,42.6,213.85,6.5,75.63,23.29,Chili
83.53,52.07,209.28,5.69,60.63,25.34,Eggplant
76.9,46.13,195.82,6.43,78.97,26.14,Chili
57.18,41.17,287.89,6.52,69.3,26.49,Eggplant
74.8,44.01,217.43,5.79,63.79,22.53,Eggplant
74.49,48.97,294.78,6.59,62.11,30.93,Eggplant
46.87,51.57,193.55,6.09,70.19,27.75,Chili
78.85,47.81,245.65,6.24,67.92,31.74,Eggplant
79.22,57.75,173.13,6.3,65.02,24.87,Chili
72.11,41.11,246.36,6.14,65.49,25.07,Chili
55.86,60.11,293.22,5.54,66.09,25.05,Eggplant
68.33,39.18,216.56,6.43,73.71,22.24,Chili
48.33,34.99,199.48,6.78,64.75,25.67,Chili
91.57,63.43,215.93,6.79,68.18,25.89,Eggplant
66.58,52.67,152.03,6.28,71.51,27.13,Chili
76.46,65.16,242.28,6.66,63.97,29.15,Eggplant
66.49,40.62,226.9,5.94,68.33,27.78,Eggplant
51.38,43.16,200.07,6.74,76.51,22.48,Chili
63.41,55.67,296.79,6.09,62.27,25.31,Eggplant
99.03,65.83,295.59,5.77,63.76,27.81,Eggplant
61.43,44.42,236.83,5.59,64.76,25.65,Eggplant
76.03,56.19,219.02,6.79,67.18,29.61,Chili
91.29,49.9,212.07,6.38,61.99,24.41,Eggplant
91.64,62.53,262.59,5.78,67.02,29.49,Eggplant
75.19,54.07,248.99,6.28,66.05,27.49,Chili
61.35,34.63,216.07,6.74,75.26,20.05,Chili
59.69,60.51,227.67,6.16,64.77,29.59,Eggplant
41.28,46.13,206.45,6.75,69.68,22.39,Chili
50.68,60.93,221.17,6.72,64.44,23.91,Eggplant
57.21,41.3,251.19,6.36,67.79,30.72,Eggplant
52.15,55.71,292.68,5.89,68.89,31.63,Eggplant
71.07,48.6,256.42,6.55,67.71,24.95,Eggplant
72.16,43.32,229.26,6.1,69.77,27.02,Chili
50.27,45.97,267.11,6.63,62.0,26.03,Eggplant
74.21,65.19,289.37,6.52,64.44,31.02,Eggplant
51.0,41.41,183.27,6.73,77.14,24.46,Chili
67.64,41.52,249.49,6.65,66.54,26.71,Eggplant
64.79,49.1,222.63,6.22,66.68,30.83,Eggplant
66.85,53.91,248.74,6.55,67.23,29.35,Chili
87.21,52.37,252.01,6.52,66.61,27.02,Eggplant
60.51,31.4,188.68,6.76,62.52,29.46,Chili
73.61,52.9,286.8,5.98,62.83,24.14,Eggplant
71.98,34.07,174.69,6.62,66.75,27.96,Chili
94.5,55.61,292.45,6.17,67.58,25.89,Eggplant
97.7,45.6,205.16,5.78,68.54,23.18,Eggplant
88.28,63.56,249.67,6.19,61.71,22.34,Eggplant
70.64,60.67,236.77,5.69,65.55,30.18,Eggplant
93.9,62.91,205.54,6.19,69.72,24.28,Eggplant
79.96,66.36,279.41,6.79,67.46,25.53,Eggplant
40.13,40.23,155.93,6.71,79.81,24.79,Chili
61.4,48.51,270.26,6.0,68.41,30.58,Eggplant
51.3,45.75,182.98,6.41,73.64,28.18,Chili
62.59,44.31,236.67,6.77,77.24,26.17,Chili
64.04,49.37,280.89,6.1,64.14,22.55,Eggplant
71.31,34.45,167.48,6.58,78.23,26.45,Chili
54.03,51.78,202.31,5.94,62.58,26.72,Eggplant
90.1,45.73,263.92,6.65,63.86,29.14,Eggplant
65.38,30.14,177.35,6.61,63.37,27.64,Chili
92.5,51.62,229.41,5.63,66.1,25.19,Eggplant
96.29,65.16,211.48,6.07,61.39,23.82,Eggplant
77.45,64.11,276.42,5.81,62.68,30.27,Eggplant
60.43,36.74,218.78,6.34,76.07,27.33,Chili
59.01,33.49,243.45,6.36,69.78,21.7,Chili
51.37,46.74,171.49,6.79,65.62,28.17,Chili
43.0,34.11,172.34,6.68,74.55,29.76,Chili
62.53,46.41,218.81,6.01,63.66,24.46,Chili
82.4,57.21,209.87,5.96,62.34,25.99,Eggplant
50.67,49.28,237.6,6.04,67.71,21.33,Chili
43.58,49.21,178.84,6.17,72.4,27.57,Chili
52.04,59.65,221.08,5.65,63.12,27.09,Eggplant
62.71,38.88,220.0,6.06,63.91,29.62,Chili
57.52,63.55,250.21,6.13,60.44,31.14,Eggplant
54.75,47.58,216.56,6.49,61.17,23.06,Chili
58.41,45.77,173.96,6.39,68.07,21.31,Chili
93.15,47.34,247.18,6.0,61.5,31.31,Eggplant
64.26,34.51,175.59,6.02,62.51,20.12,Chili
78.49,57.13,160.74,6.52,68.89,28.96,Chili
48.95,40.94,207.62,6.52,72.56,20.06,Chili
92.1,47.35,276.33,6.7,62.88,31.34,Eggplant
56.98,33.16,203.31,6.05,60.47,28.21,Chili
93.16,63.42,227.02,6.17,69.13,28.95,Eggplant
99.33,45.4,298.65,6.57,61.3,27.26,Eggplant
41.83,36.0,185.55,6.54,73.01,28.03,Chili
76.48,40.74,178.05,6.56,69.85,24.82,Chili
53.5,32.67,225.62,6.66,62.04,22.86,Chili
66.9,56.82,156.13,6.71,70.58,21.9,Chili
69.39,44.06,229.87,6.27,62.76,30.1,Eggplant
40.54,47.42,162.9,6.33,66.19,28.72,Chili
68.95,53.19,201.78,5.92,63.28,30.87,Eggplant
96.47,48.68,263.96,6.72,63.59,26.89,Eggplant
46.64,40.8,247.27,6.76,60.05,20.56,Chili
80.95,54.68,248.72,6.28,60.02,28.46,Eggplant
50.31,47.48,292.97,6.38,66.2,23.28,Eggplant
69.65,43.31,240.94,5.94,61.44,30.72,Eggplant
74.57,53.59,253.16,6.3,60.72,23.22,Eggplant
62.59,67.83,279.73,5.78,64.09,31.69,Eggplant
71.19,51.37,235.8,6.25,62.76,30.91,Eggplant
86.5,62.09,224.67,5.93,65.79,30.92,Eggplant
51.22,56.23,207.41,6.14,62.33,29.22,Eggplant
66.02,53.42,230.38,6.23,70.93,22.49,Chili
74.39,55.95,263.94,5.58,68.95,31.27,Eggplant
69.45,30.76,161.84,6.16,63.22,20.71,Chili
68.44,64.2,258.13,5.59,65.82,26.3,Eggplant
79.6,53.43,222.74,5.8,66.62,25.03,Eggplant
64.62,58.71,204.5,5.86,64.29,22.69,Eggplant
86.5,55.43,255.0,6.07,69.51,31.8,Eggplant
63.33,53.72,185.03,6.67,69.74,25.43,Chili
58.91,58.15,203.55,6.3,65.68,22.24,Eggplant
73.77,40.59,156.13,6.35,61.26,21.3,Chili
64.4,69.18,259.49,5.51,60.52,26.99,Eggplant
72.88,47.09,180.39,6.75,64.61,28.37,Chili
43.39,59.16,190.08,6.79,70.79,24.59,Chili
86.66,54.0,235.5,5.74,67.23,31.36,Eggplant
67.52,30.24,193.38,6.51,68.28,24.03,Chili
51.77,33.09,230.23,6.4,63.43,24.82,Chili
76.83,68.67,284.83,6.73,60.02,22.9,Eggplant
45.94,56.68,235.18,6.57,67.52,21.41,Chili
62.98,44.38,264.39,5.78,63.61,28.88,Eggplant
77.19,48.37,214.75,6.73,68.95,24.6,Chili
92.12,43.91,243.17,6.52,63.48,29.33,Eggplant
52.45,35.33,159.25,6.74,70.32,27.68,Chili
64.98,52.83,169.42,6.68,73.36,24.92,Chili
99.07,59.5,295.83,6.16,66.94,25.22,Eggplant
50.76,66.67,214.27,6.52,63.79,26.38,Eggplant
76.59,34.34,197.16,6.25,71.79,20.7,Chili
87.18,50.34,228.56,6.02,65.67,28.72,Eggplant
44.93,56.22,245.09,6.46,62.6,21.7,Chili
46.54,45.86,228.11,6.25,64.14,27.78,Chili
78.3,44.29,197.32,6.75,71.48,27.56,Chili
89.18,45.9,290.63,6.57,62.07,25.62,Eggplant
45.61,47.01,218.6,6.31,67.28,20.44,Chili
55.02,38.35,201.32,6.37,72.4,21.02,Chili
60.03,39.1,174.47,6.17,73.18,27.46,Chili
93.33,66.01,228.71,6.45,61.59,30.0,Eggplant
72.1,48.44,243.44,6.32,60.38,30.93,Eggplant
43.98,40.72,220.69,6.45,71.33,28.69,Chili
92.17,67.74,257.3,6.14,68.57,28.93,Eggplant
98.49,58.6,231.9,6.15,63.8,27.74,Eggplant
66.53,68.82,262.05,6.4,66.24,30.63,Eggplant
59.13,39.83,214.11,6.1,72.25,21.21,Chili
75.82,68.83,286.88,5.66,65.97,26.82,Eggplant
74.96,44.78,224.96,6.69,68.62,23.59,Eggplant
63.85,30.91,160.83,6.49,71.72,24.75,Chili
95.7,57.42,243.77,6.62,69.1,23.06,Eggplant
66.21,42.35,266.56,6.7,63.44,25.57,Eggplant
57.04,44.4,239.46,6.06,79.29,27.14,Chili
73.5,47.57,185.73,6.5,72.08,21.35,Chili
40.04,49.34,152.03,6.24,62.2,23.38,Chili
46.72,43.38,218.08,6.21,79.78,20.62,Chili
59.07,64.31,295.7,6.17,68.31,29.36,Eggplant
67.06,34.77,210.6,6.58,63.89,27.04,Chili
91.88,50.64,286.19,6.13,67.85,22.26,Eggplant
45.69,30.1,234.53,6.76,79.58,20.8,Chili
96.7,44.62,249.59,6.79,67.7,24.38,Eggplant
84.29,62.34,204.9,6.29,64.97,31.04,Eggplant
89.37,41.55,278.67,5.89,69.08,22.82,Eggplant
41.56,42.88,169.38,6.44,79.79,29.96,Chili
58.29,51.77,299.52,6.63,61.87,30.86,Eggplant
53.51,61.8,262.2,5.62,66.55,31.15,Eggplant
93.09,53.35,247.78,6.73,60.68,26.88,Eggplant
46.33,47.06,154.68,6.67,69.85,20.69,Chili
60.12,45.77,280.92,6.16,60.9,30.02,Eggplant
67.74,59.74,249.26,6.19,62.1,28.59,Eggplant
54.7,48.59,165.94,6.39,66.25,25.92,Chili
83.05,47.74,280.18,6.4,66.6,22.72,Eggplant
70.18,57.37,161.38,6.12,77.34,28.52,Chili
69.9,69.01,252.13,5.6,65.89,25.01,Eggplant
89.12,52.14,263.86,6.0,65.96,30.26,Eggplant
70.69,68.21,287.07,5.95,68.85,29.1,Eggplant
56.44,59.36,169.77,6.02,74.49,22.72,Chili
81.35,43.35,239.32,6.13,62.44,31.4,Eggplant
59.77,59.99,258.42,6.52,63.12,30.98,Eggplant
64.17,41.51,299.73,5.64,67.61,23.94,Eggplant
93.0,53.74,217.01,6.12,67.9,23.56,Eggplant
59.16,42.07,237.54,6.61,74.92,22.29,Chili
65.74,60.52,263.89,5.77,62.45,29.76,Eggplant
66.67,44.52,228.6,5.71,65.42,31.32,Eggplant
75.0,69.19,281.19,6.17,64.27,31.05,Eggplant
42.66,49.74,155.39,6.46,77.0,29.92,Chili
81.07,44.55,218.48,5.9,69.62,29.57,Eggplant
47.22,55.23,238.82,6.62,73.51,26.96,Chili
54.18,51.37,255.32,6.0,63.44,26.61,Eggplant
94.33,66.72,218.61,6.76,60.12,25.48,Eggplant
65.02,39.24,178.63,6.18,62.67,29.44,Chili
92.63,63.99,236.02,5.66,69.12,24.7,Eggplant
77.68,61.5,259.03,6.6,65.53,28.71,Eggplant
53.88,62.64,285.11,6.08,66.72,25.03,Eggplant
99.1,41.96,221.2,6.64,61.84,31.85,Eggplant
71.85,59.58,297.67,5.57,64.72,30.61,Eggplant
49.8,39.16,187.17,6.57,69.69,23.9,Chili
77.94,67.57,223.61,5.87,67.44,29.82,Eggplant
48.91,57.77,161.21,6.61,65.41,23.49,Chili
71.94,58.43,164.34,6.27,73.51,28.97,Chili
56.22,56.22,156.39,6.21,62.62,29.93,Chili
88.15,44.01,277.33,6.67,68.2,29.3,Eggplant
93.14,58.23,270.83,6.77,67.43,23.4,Eggplant
90.99,42.48,282.53,5.87,69.4,31.3,Eggplant
61.45,30.72,182.58,6.55,61.86,22.36,Chili
84.57,52.59,204.85,6.13,67.51,28.81,Eggplant
67.17,52.64,213.91,6.05,75.96,22.28,Chili
75.53,34.55,244.5,6.73,67.52,26.05,Chili
58.59,67.79,295.24,5.79,60.1,31.11,Eggplant
44.23,46.43,221.1,6.01,69.39,26.71,Chili
59.4,57.09,250.4,5.61,61.86,23.06,Eggplant
86.75,43.87,286.07,6.71,63.07,26.71,Eggplant
86.42,58.95,296.91,6.19,62.6,23.87,Eggplant
90.51,45.11,269.52,5.71,61.41,22.08,Eggplant
96.54,61.25,258.99,5.98,60.28,24.31,Eggplant
75.9,56.38,218.34,6.67,70.0,28.67,Chili
91.51,63.3,296.09,5.68,69.1,23.27,Eggplant
72.84,63.39,243.35,6.61,63.18,29.11,Eggplant
66.03,66.76,242.25,5.73,60.13,24.72,Eggplant
57.56,65.01,236.09,6.05,69.06,30.01,Eggplant
78.29,49.98,173.74,6.66,70.64,29.25,Chili
63.98,51.55,207.58,6.26,67.47,20.54,Chili
70.77,46.47,255.73,6.04,61.46,24.09,Eggplant
65.26,55.06,247.0,6.22,67.37,28.5,Chili
79.06,39.79,152.2,6.1,61.57,29.47,Chili
67.95,45.66,214.68,5.8,64.32,23.65,Eggplant
55.38,57.73,234.0,6.12,79.95,26.7,Chili
48.86,52.29,166.77,6.59,73.14,24.61,Chili
74.53,43.3,226.65,5.88,66.09,30.75,Eggplant
69.94,44.01,158.71,6.79,78.59,21.07,Chili
69.44,30.22,201.91,6.39,76.84,27.9,Chili
68.47,47.48,284.9,6.41,61.59,30.78,Eggplant
42.89,37.94,158.49,6.13,78.23,29.1,Chili
71.41,47.2,242.33,5.55,67.74,30.75,Eggplant
57.05,49.24,244.28,6.62,66.75,29.55,Chili
71.89,37.2,196.54,6.3,60.43,20.68,Chili
51.17,40.58,299.97,6.48,69.05,25.51,Eggplant
62.35,45.13,200.65,6.32,68.76,26.85,Chili
56.72,61.54,242.73,5.52,68.86,22.66,Eggplant
68.69,45.01,245.26,6.69,77.16,20.47,Chili
84.91,40.72,208.21,5.75,60.45,28.06,Eggplant
72.08,30.42,190.49,6.25,78.46,20.75,Chili
91.39,49.73,268.44,6.72,63.97,23.65,Eggplant
54.99,49.09,236.07,6.76,74.52,23.16,Chili
60.29,33.61,248.11,6.4,66.34,21.72,Chili
55.99,55.92,299.35,5.63,63.03,31.98,Eggplant
42.72,36.9,191.57,6.74,62.55,27.18,Chili
99.81,55.83,231.2,5.97,63.2,23.69,Eggplant
69.09,40.52,187.8,6.11,73.98,24.14,Chili
71.72,32.78,230.71,6.06,61.0,22.33,Chili
72.99,49.95,298.55,6.04,62.93,29.67,Eggplant
93.41,40.05,267.87,6.22,61.58,22.23,Eggplant
52.43,59.2,184.38,6.37,75.45,27.55,Chili
56.21,48.92,220.17,6.69,73.15,24.16,Chili
44.25,39.7,212.25,6.38,63.05,23.23,Chili
71.22,54.78,236.49,6.2,71.52,28.74,Chili
92.8,43.78,263.95,5.96,62.34,22.49,Eggplant
56.32,37.61,238.13,6.18,76.86,23.04,Chili
78.48,50.23,240.2,6.45,62.74,20.27,Chili
91.12,41.32,234.92,5.78,65.6,23.74,Eggplant
79.41,45.94,162.97,6.08,73.3,27.34,Chili
61.24,53.87,251.46,6.4,60.31,29.95,Eggplant
65.52,31.56,199.14,6.37,63.55,26.45,Chili
67.25,50.33,187.4,6.29,66.33,24.94,Chili
95.64,44.24,239.31,6.68,68.82,27.25,Eggplant
63.09,41.23,203.15,6.74,61.01,27.45,Chili
76.02,47.73,227.62,5.66,61.48,27.05,Eggplant
44.74,45.39,160.48,6.29,61.24,27.66,Chili
65.01,51.54,232.64,6.61,69.65,24.94,Eggplant
40.09,52.26,249.44,6.78,73.01,24.59,Chili
70.71,32.04,201.22,6.66,66.43,23.21,Chili
97.03,61.24,274.14,5.61,68.64,27.42,Eggplant
54.32,63.28,235.11,6.1,62.98,22.94,Eggplant
62.94,42.0,156.52,6.36,74.91,25.52,Chili
51.18,36.65,175.69,6.45,74.11,21.55,Chili
59.56,50.7,152.78,6.43,71.26,27.07,Chili
75.23,46.45,285.78,6.16,63.32,25.87,Eggplant
63.96,32.62,186.79,6.36,63.76,25.18,Chili
61.37,31.42,180.29,6.15,79.28,20.52,Chili
55.79,38.55,178.51,6.73,61.29,27.14,Chili
63.94,57.52,228.57,6.58,71.05,22.39,Chili
51.82,66.34,220.82,5.82,67.29,26.65,Eggplant
68.45,46.0,261.57,5.75,60.95,27.04,Eggplant
75.61,30.9,235.48,6.14,77.42,22.58,Chili
95.25,69.27,283.51,6.4,61.2,28.5,Eggplant
51.21,52.1,279.85,6.1,66.22,24.85,Eggplant
56.68,52.87,190.41,6.77,67.07,28.05,Chili
77.68,50.39,166.46,6.57,69.56,23.01,Chili
55.91,49.2,240.54,6.15,68.95,29.04,Eggplant
58.81,51.67,230.07,6.03,65.64,29.49,Chili
60.89,48.16,157.15,6.7,69.63,28.58,Chili
63.81,38.06,229.81,6.76,66.54,22.06,Chili
49.93,33.14,166.27,6.3,68.36,20.15,Chili
61.56,67.59,231.93,6.46,64.06,29.0,Eggplant
47.61,55.42,218.9,6.72,63.68,26.23,Chili
65.19,42.83,174.46,6.44,65.98,21.55,Chili
54.41,54.03,217.48,6.75,67.78,24.02,Eggplant
83.08,66.23,273.23,6.46,65.59,26.56,Eggplant
66.51,60.02,277.19,6.03,61.75,25.07,Eggplant
52.18,57.76,241.37,6.62,63.95,22.31,Eggplant
47.33,37.94,181.85,6.58,70.06,24.06,Chili
60.46,65.49,273.96,6.64,61.68,25.16,Eggplant
76.02,60.88,273.06,5.65,63.79,25.92,Eggplant
79.22,58.21,197.82,6.45,64.88,29.48,Chili
62.81,64.29,209.19,6.1,63.93,24.99,Eggplant
82.22,62.51,255.25,5.61,60.47,27.86,Eggplant
58.55,31.06,174.11,6.55,69.86,24.5,Chili
92.97,62.47,294.58,6.13,61.63,26.26,Eggplant
56.12,66.5,284.98,6.48,66.52,27.81,Eggplant
59.24,66.56,236.94,6.08,62.63,26.65,Eggplant
58.34,61.97,236.7,6.16,64.1,29.04,Eggplant
68.75,40.04,233.03,6.2,66.9,23.21,Chili
50.27,55.54,213.05,6.46,62.27,26.13,Chili
90.52,42.95,214.33,6.79,61.56,25.74,Eggplant
52.13,31.32,171.97,6.66,65.72,29.03,Chili
48.47,51.27,220.07,6.23,75.31,20.54,Chili
85.02,65.46,247.97,6.62,69.33,26.54,Eggplant
67.8,45.68,248.6,6.28,70.76,22.1,Chili
76.86,57.05,275.35,6.53,68.5,27.4,Eggplant
55.09,33.61,235.22,6.7,79.62,27.48,Chili
72.78,49.49,228.92,6.42,74.16,22.82,Chili
78.77,61.39,259.05,6.44,66.72,27.55,Eggplant
69.89,32.26,215.55,6.45,72.74,20.71,Chili
46.2,43.03,230.84,6.32,64.1,22.5,Chili
59.18,40.68,289.42,6.42,62.35,25.57,Eggplant
46.48,49.02,249.27,6.73,68.91,26.28,Chili
94.65,53.63,255.31,6.7,65.42,31.04,Eggplant
60.15,38.49,201.75,6.01,78.9,23.34,Chili
66.7,66.03,295.81,6.2,64.39,25.81,Eggplant
73.51,34.4,182.93,6.67,74.13,29.66,Chili
40.86,34.8,234.89,6.58,64.94,27.96,Chili
51.58,46.93,196.03,6.1,74.71,29.71,Chili
40.67,33.65,167.21,6.55,69.0,21.39,Chili
64.52,45.27,252.27,6.73,60.09,23.45,Eggplant
71.71,48.96,162.84,6.32,78.97,21.32,Chili
48.17,34.83,152.17,6.23,63.56,24.2,Chili
75.03,65.22,213.95,6.7,63.86,24.41,Eggplant
69.55,55.28,204.53,6.78,77.88,26.8,Chili
81.31,61.7,219.59,5.8,62.72,22.16,Eggplant
58.74,48.07,246.35,6.45,60.08,26.58,Eggplant
61.3,47.67,207.3,6.58,64.31,25.37,Chili
94.22,56.94,295.24,6.3,60.41,27.54,Eggplant
69.18,59.62,274.12,6.28,69.74,31.46,Eggplant
69.5,36.72,233.81,6.68,70.36,25.8,Chili
68.75,35.95,180.6,6.54,70.54,25.51,Chili
96.26,40.18,233.45,5.58,67.35,24.58,Eggplant
73.53,50.11,201.61,6.39,77.71,27.57,Chili
50.25,52.47,247.01,5.77,65.93,22.93,Eggplant
66.99,60.66,212.5,6.68,67.59,26.57,Eggplant
65.99,55.43,205.61,6.38,65.42,22.11,Chili
99.58,53.3,204.19,6.23,64.53,25.03,Eggplant
78.43,43.44,297.93,5.68,62.99,28.56,Eggplant
80.0,66.68,209.97,5.61,61.0,29.79,Eggplant
75.25,52.33,189.2,6.73,69.14,21.0,Chili
76.57,68.85,215.96,6.22,61.68,30.71,Eggplant
64.41,47.18,155.48,6.37,62.71,27.19,Chili
71.97,50.28,275.24,6.0,68.23,27.7,Eggplant
71.74,42.81,226.67,6.44,68.59,29.89,Chili
77.48,34.91,185.42,6.05,65.0,22.49,Chili
69.02,56.11,242.35,6.33,60.1,31.51,Eggplant
67.21,57.85,268.03,6.45,65.53,26.11,Eggplant
79.4,55.96,209.39,6.24,72.03,25.62,Chili
78.45,59.03,211.59,6.29,64.68,23.88,Eggplant
99.21,44.75,222.96,5.63,63.91,30.25,Eggplant
44.54,59.07,233.61,6.72,76.09,25.07,Chili
84.99,62.27,210.05,6.12,60.63,28.42,Eggplant
94.72,46.21,246.12,5.82,66.03,31.9,Eggplant
