Nitrogen,Potassium,Phosphorous,Temparature,Humidity,Moisture,Crop Type
41,0,0,36,68,41,Ground Nuts
9,10,30,28,54,25,Maize
24,0,19,25,50,32,Pulses
4,17,17,30,60,27,Tobacco
39,0,0,38,72,51,Wheat
15,0,41,36,60,43,Millets
12,0,10,29,58,57,Sugarcane
20,2,15,27.58,59.21,31.27,Cotton
9,12,14,27.45,66.38,50.14,Millets
28,0,22,27.25,63.62,40.35,Wheat
8,9,28,28.84,58.91,33.06,Millets
40,2,0,25.86,48.46,46.25,Ground Nuts
11,0,11,25.59,63.6,46.33,Cotton
6,4,14,29.17,68.19,30.65,Oil seeds
9,14,11,36.05,73.59,58.17,Millets
5,8,30,26.76,64.22,53.63,Ground Nuts
41,0,3,27.66,53.58,40.96,Cotton
40,0,0,28.27,52.88,43.3,Wheat
8,1,16,38.39,69.51,65.09,Oil seeds
15,0,35,28.74,56.8,54.07,Cotton
19,4,28,30.63,63.88,38.71,Paddy
11,5,12,26.02,52.46,31.12,Barley
9,22,21,34.71,64.94,52.62,Oil seeds
11,0,8,23.71,51.25,30.5,Oil seeds
37,2,4,30.63,61.45,23.18,Maize
12,13,13,23.63,52.62,31.03,Sugarcane
16,3,32,27.65,58.09,69.07,Oil seeds
12,0,36,31.19,60.94,30.51,Paddy
45,2,0,37.12,72.87,47.06,Tobacco
7,15,16,33.52,60.46,47.85,Pulses
10,3,31,29.44,59.34,55.51,Sugarcane
8,13,28,33.24,69.48,65.48,Cotton
2,20,19,20.85,53.18,43.77,Tobacco
11,1,36,38.42,73.97,50.41,Sugarcane
34,0,3,29.04,71.09,21.12,Maize
39,0,0,23.59,55.82,62.92,Sugarcane
11,0,32,38.56,73.46,30.62,Pulses
15,0,8,30.87,63.94,46.2,Cotton
38,4,0,25.83,51.1,59.57,Maize
14,0,35,34.51,63.92,70,Sugarcane
18,0,25,31.92,62.59,27.78,Pulses
13,16,11,28.43,58.72,43.9,Sugarcane
4,0,14,27.53,55.04,57.07,Pulses
8,9,18,24.53,67.4,48.49,Paddy
15,4,33,30.82,51.91,54.23,Wheat
9,15,16,32.53,59.45,20.16,Cotton
12,8,33,28.17,58.69,34.11,Cotton
35,0,0,29.25,54.52,41.4,Paddy
6,16,17,22.26,51.36,48.36,Tobacco
41,3,4,30.76,66.64,56.32,Ground Nuts
7,11,20,27.84,66.53,36.89,Sugarcane
7,11,31,29.21,64.21,54.95,Wheat
11,13,15,26.01,59.52,35.75,Pulses
23,0,23,29.5,55.42,51.17,Cotton
40,0,0,32.98,62.02,33.12,Wheat
38,0,1,24.24,59.04,50.07,Barley
21,3,20,33.54,59.28,52.09,Wheat
35,4,0,34.43,72.28,62.22,Ground Nuts
15,0,33,32.19,68.94,67.37,Barley
5,7,32,32.55,71.46,67.14,Oil seeds
13,0,38,28.38,52.02,43.83,Wheat
36,0,0,25.4,43.57,38.51,Maize
12,15,15,33.8,52.28,53.31,Millets
20,0,20,28.38,47.58,34.86,Paddy
23,2,16,28.37,59.8,35.35,Oil seeds
1,14,22,30.08,73.84,41.22,Sugarcane
31,1,0,34.95,64.93,62.63,Wheat
20,0,21,35.56,74.88,52.16,Cotton
7,1,7,24.05,52.76,58.9,Oil seeds
11,3,14,23.42,53.65,69.68,Barley
17,0,31,31.68,62.14,42.55,Sugarcane
19,0,19,31.03,69,49.46,Maize
5,8,32,31.78,44.27,45.07,Maize
39,0,2,22.3,60.64,40.78,Ground Nuts
8,1,43,26.39,52.62,22.27,Cotton
13,4,39,29.36,64.39,20,Tobacco
13,0,8,26.67,47.94,34.08,Sugarcane
12,6,30,26.75,56.87,20,Barley
24,0,17,30.64,65.77,32.86,Sugarcane
26,0,21,29.89,48.59,38,Pulses
8,13,18,28.61,62.22,41.53,Ground Nuts
39,2,0,37.09,63.72,47.99,Sugarcane
37,3,0,21.78,55.6,33.66,Maize
2,5,25,30.42,70.37,55.92,Wheat
10,17,12,35.39,52.28,42.97,Pulses
3,15,15,30.53,52.17,41.92,Oil seeds
10,0,34,28.09,56.62,36.14,Ground Nuts
16,3,22,22.95,55.86,31.58,Paddy
18,1,38,32.06,75.56,55.73,Tobacco
11,11,16,38.4,67.88,62.06,Maize
12,13,27,33.59,66.16,69.67,Pulses
10,4,11,26.47,62.91,46.87,Ground Nuts
13,21,14,31.56,58.25,29.12,Oil seeds
8,13,32,29.13,56.72,67.72,Ground Nuts
36,4,0,23.35,59.98,63.83,Oil seeds
19,0,20,26.75,58.1,39.27,Maize
41,0,1,30.42,48.76,42.28,Millets
14,13,8,24.9,51.02,31.9,Ground Nuts
34,1,0,27.31,57.3,22.41,Wheat
8,1,9,31.5,74.7,23.25,Ground Nuts
19,0,26,27.63,69.25,41.18,Millets
38,0,4,22.59,45.7,33.13,Maize
11,2,40,35.97,60.1,26.8,Tobacco
26,2,22,27.69,55.55,27.9,Sugarcane
6,1,14,24.27,52.43,62.34,Millets
9,3,11,30.42,50.01,26.27,Ground Nuts
13,0,35,31.52,44.64,42.86,Barley
12,4,13,30.64,57.57,46.45,Wheat
15,0,16,22.17,47.78,43.03,Paddy
5,10,32,36.5,65.85,42.33,Maize
8,4,6,35.13,65.69,37.76,Maize
6,14,10,24.82,53.75,47.97,Ground Nuts
6,0,9,31.24,55.88,37.05,Oil seeds
5,3,14,29.77,46.18,63.79,Cotton
35,0,0,25.86,46.65,32.67,Oil seeds
44,0,0,30.15,60.77,42.93,Cotton
10,0,12,29.46,59.4,49.1,Ground Nuts
38,0,0,29.37,64.45,64.66,Cotton
19,0,18,23.63,58.75,35.6,Oil seeds
10,5,31,32.45,60.24,55.92,Millets
15,4,39,37.34,63.39,25.36,Paddy
3,8,34,30.41,67.24,65.58,Cotton
12,0,37,31.9,55.45,59.87,Barley
16,13,16,35.85,52.79,54.13,Cotton
20,0,23,28.87,49.91,35.02,Pulses
9,19,18,26.33,50.2,45.34,Oil seeds
35,0,0,29.67,58.75,40.69,Sugarcane
23,0,15,32.2,50.72,39.63,Ground Nuts
6,0,41,29.24,62.15,51.65,Millets
37,0,1,34.15,71.16,41.7,Paddy
9,0,35,31.56,55.15,56.8,Barley
9,0,36,24.76,56.88,20,Oil seeds
11,0,14,34.15,63.96,47.64,Barley
9,4,18,30.7,57.71,38.36,Wheat
23,2,22,34.89,53.79,37.58,Ground Nuts
13,1,42,26.7,63.42,24.65,Cotton
37,0,0,23.75,61.43,52.94,Ground Nuts
21,0,18,25.73,52.9,46.14,Cotton
13,0,10,25.36,50.91,24.39,Wheat
39,0,0,36.35,61.89,65.38,Sugarcane
24,0,21,21.91,46.66,45.27,Millets
10,0,9,26.44,65.84,50.2,Pulses
8,0,12,28.93,50.28,20.33,Wheat
7,6,34,30.06,53.68,70,Maize
16,13,13,35.29,64.13,46.59,Pulses
41,2,0,24.61,63.9,70,Pulses
19,0,22,29.38,60.44,45.57,Millets
20,0,19,30.2,51.16,32.5,Barley
11,0,9,32.46,68.2,64.77,Sugarcane
34,0,4,24.26,53.19,67.73,Oil seeds
11,0,35,37.9,75.51,25.35,Ground Nuts
34,0,2,31.1,55.48,46.43,Cotton
17,0,15,31.75,62.4,34.97,Wheat
15,11,11,27.29,57.56,53.09,Pulses
15,0,40,26.71,55.89,69.87,Paddy
21,0,18,29.25,56.07,33.6,Oil seeds
17,0,20,29.73,58.67,29.64,Barley
10,12,18,31.62,57.88,42.77,Oil seeds
8,13,12,25.93,54.07,23.84,Maize
11,1,12,26.47,55.37,59.34,Maize
18,0,42,21.92,53,33.57,Barley
4,0,10,24.35,58.11,34.04,Oil seeds
9,4,10,29.55,45.99,50.06,Sugarcane
33,0,2,28.29,60.24,33.44,Pulses
11,2,41,31.31,73.26,70,Pulses
43,0,0,30.05,58.21,23.31,Cotton
21,4,24,31.27,62.18,32.06,Paddy
10,1,32,32.51,61.45,70,Ground Nuts
14,11,13,23.98,44.94,20,Oil seeds
39,1,2,30.28,69.29,53.16,Tobacco
10,9,18,28.02,54.85,55.71,Sugarcane
37,0,1,28.66,56.26,39.29,Sugarcane
22,0,26,30.85,70.39,29.35,Millets
13,4,5,24.51,62.55,65.83,Pulses
18,4,23,22.33,56.84,29.98,Ground Nuts
42,1,4,29.75,55.39,28.42,Tobacco
41,0,2,28.27,52.86,22.36,Ground Nuts
17,0,12,33.27,67.2,40.49,Paddy
10,0,32,38.53,70.2,28.94,Millets
8,14,31,25.2,60.02,69.92,Oil seeds
38,0,2,23.66,55.66,31.32,Wheat
9,0,16,35.01,71.58,39.2,Wheat
12,2,31,36.92,69.78,32.64,Maize
18,0,19,23.74,47.23,43.64,Tobacco
6,0,11,30.51,48.99,28.68,Tobacco
0,16,19,27.02,68.83,33.05,Tobacco
6,2,13,27.77,42.89,59.1,Barley
3,12,30,39.65,63.55,47.33,Cotton
15,4,45,37.27,64.08,36.28,Barley
7,0,6,27.93,64.17,62.13,Pulses
37,0,0,29.95,61.75,36.58,Sugarcane
26,0,21,24.97,59.24,47.46,Paddy
18,0,36,27.68,61.68,59.47,Paddy
2,20,12,23.82,47.74,30.62,Cotton
38,0,0,34.57,69.61,57.23,Pulses
16,0,44,35.1,70.14,56.12,Pulses
16,0,38,33.71,59.42,29.32,Barley
23,0,23,24.75,45.31,49.7,Cotton
3,12,31,37.36,59.64,53.7,Millets
35,0,2,32.22,56.29,48.76,Maize
31,3,0,32.35,48.81,46.33,Paddy
42,0,0,40,80,59.99,Cotton
33,3,0,25.85,62.32,48.82,Cotton
8,22,18,30.61,66.36,42.09,Barley
5,6,26,34.51,54.79,54.12,Maize
35,3,2,29.66,43.74,43.31,Paddy
16,0,15,31.75,46.82,37.35,Maize
20,0,17,25.43,68.65,39.28,Oil seeds
10,21,13,30.97,58.53,29.79,Wheat
10,12,9,28.58,71.66,46.04,Oil seeds
15,16,10,29.87,63.64,61.4,Wheat
19,0,21,25.09,54.56,34.08,Maize
35,2,0,29.76,45.13,30.91,Cotton
35,3,0,31.38,69.36,35.4,Tobacco
37,0,0,36.7,70.28,23.31,Ground Nuts
18,0,45,26.91,44.27,23.76,Barley
7,0,5,30.83,53.08,47.02,Oil seeds
37,4,0,31.98,55.89,57.6,Barley
23,1,25,30.46,48.84,33.31,Paddy
14,9,32,29.24,54.29,47.85,Paddy
12,0,34,31.38,67.84,59.74,Maize
41,0,1,29.08,54.19,61.72,Maize
12,10,23,40,60.8,50.41,Cotton
19,15,15,23.18,53.55,20,Ground Nuts
40,4,0,32.61,54.79,70,Barley
9,0,37,36.12,72.17,33.4,Paddy
40,3,0,23.88,57.05,35.25,Barley
14,0,12,30.78,64.7,35.01,Pulses
10,8,27,36.46,65.08,43.87,Paddy
7,4,45,40,77.61,29.53,Sugarcane
42,0,0,32,57.73,35.48,Wheat
4,10,26,32.69,69.21,22.19,Sugarcane
14,0,11,29.63,45.37,21.76,Sugarcane
25,0,19,34.22,56.39,49.89,Pulses
7,11,34,36.56,76.26,36.26,Wheat
35,1,0,37,62.94,55.83,Pulses
36,3,3,37.66,74.6,28.6,Millets
14,2,37,36.42,75.12,46.56,Ground Nuts
8,9,32,29.92,50.41,62.32,Ground Nuts
8,0,38,31.96,49.13,52.38,Maize
10,0,43,38.65,62.79,58.95,Cotton
35,0,1,24.94,50.42,55.75,Tobacco
25,4,22,26.11,52.09,44.94,Pulses
3,4,31,39.68,75.02,51.69,Barley
12,0,39,32.74,64.14,68.56,Millets
14,1,36,25.3,50.31,45.77,Tobacco
4,9,26,29.37,61.61,33,Oil seeds
11,0,36,35.12,61.28,35.3,Sugarcane
36,0,0,31.57,46.3,28.05,Tobacco
9,4,38,38,61.23,26.32,Wheat
38,0,0,36.29,71,56.12,Barley
13,0,38,32.76,61.99,68.62,Pulses
41,3,1,33.01,61.9,32.87,Wheat
28,0,27,27.09,64.13,38,Paddy
11,0,9,30.15,68.23,37.36,Wheat
12,0,31,31.12,54.41,55.18,Oil seeds
38,3,0,31.08,61.81,34.73,Wheat
1,17,13,34.99,65.23,27.62,Maize
3,12,16,28.29,46.16,41.47,Millets
10,2,42,37.61,61.11,36.72,Barley
21,0,22,36.02,69.03,54.45,Barley
21,0,22,28.58,41.09,30.84,Tobacco
16,0,39,24.6,52.29,30.92,Tobacco
13,4,6,29.87,56.39,37.84,Cotton
27,0,20,29.85,47.2,57.02,Millets
5,10,36,26.12,63.44,63.43,Millets
5,3,5,34.94,57.44,52.37,Wheat
16,4,36,31.59,63.18,56.9,Paddy
11,0,42,37.33,67.17,37.59,Maize
37,1,2,24.02,45.09,67.89,Tobacco
43,2,2,33.56,66.29,26.04,Wheat
25,0,22,30.78,50.3,52.95,Barley
10,7,26,32.39,66.19,63.37,Ground Nuts
23,2,22,31.26,67.75,26.57,Barley
9,8,32,38.04,69.01,42.8,Ground Nuts
12,1,44,32.73,62.66,34.5,Paddy
37,0,4,27.79,60.14,41.16,Paddy
44,0,0,32.24,55.75,45.85,Pulses
12,0,42,31.18,60.59,20.77,Pulses
12,7,32,34.04,65.18,55.33,Ground Nuts
11,14,31,28.92,49.12,20,Pulses
8,20,21,36.08,74.86,38.71,Wheat
14,3,36,32.57,62.47,37.05,Millets
38,0,4,32.53,51.27,44.71,Ground Nuts
26,0,25,25.19,60.71,52.06,Paddy
36,0,4,28.66,47.45,44.04,Wheat
9,14,12,24.59,58.22,64.12,Paddy
8,0,37,25.71,59.93,51.81,Tobacco
10,0,12,28.24,54.62,35.02,Wheat
18,3,17,33.95,61,45.29,Maize
11,4,27,33.88,59.02,35.32,Sugarcane
2,9,32,30.87,58.93,70,Oil seeds
36,0,4,33.25,69.66,51.62,Maize
4,0,15,30.25,72.59,57.4,Pulses
7,3,42,31.59,67.65,56.8,Oil seeds
41,0,4,37.68,62.61,54.72,Ground Nuts
19,0,33,30.23,70.15,26.2,Oil seeds
24,0,16,30.29,58.63,51.24,Ground Nuts
8,0,40,27.47,53.06,40,Paddy
19,0,15,29.05,52,53.16,Cotton
2,16,19,22.27,58.06,38.54,Tobacco
36,0,2,26.4,57.87,57.72,Cotton
13,10,26,24.38,52.09,25.67,Sugarcane
5,14,29,33.24,51.28,65.32,Pulses
9,0,10,27.41,52.54,41.48,Barley
12,0,34,32.64,77.53,39.18,Maize
18,0,29,27.61,71.93,41.84,Barley
10,0,17,36.71,76.2,24.17,Barley
14,2,38,31.72,71.9,41.1,Oil seeds
1,14,17,38.33,70.83,45.85,Cotton
10,0,40,31.36,44.29,43.74,Pulses
23,0,26,31.97,57.04,39.26,Maize
15,0,41,30.86,66.38,42.56,Sugarcane
12,0,37,29.81,63.42,20,Millets
34,2,1,30.18,68.42,36.95,Barley
41,0,4,25.23,62.86,38.43,Cotton
4,9,28,37.04,68.38,51.4,Maize
24,0,17,26.14,52.36,40.32,Paddy
5,10,31,25.71,49.13,33.26,Sugarcane
39,1,4,30.12,69.25,21.43,Paddy
21,2,23,27.34,63.01,48.83,Cotton
40,0,0,30.29,69.44,58.64,Pulses
34,4,0,33.67,68.27,57.75,Millets
7,14,16,34.7,66.76,69.2,Sugarcane
9,11,8,34.38,60.73,50.97,Oil seeds
9,3,13,33.48,62.18,48.6,Wheat
13,10,30,33.6,60.98,68.08,Tobacco
6,4,40,31.74,62.32,52.3,Sugarcane
18,4,27,27.11,49.05,43.91,Oil seeds
44,0,0,29.56,70.11,44.74,Wheat
18,0,33,33.71,58.93,43.88,Barley
15,1,7,21.93,44.5,63.49,Maize
12,1,40,33.53,60.05,37.18,Maize
17,0,40,25.31,51.61,33.05,Ground Nuts
18,0,42,31.78,65.4,52.23,Ground Nuts
39,1,0,34.68,58.89,27.43,Pulses
11,0,42,39.75,60.73,38.94,Millets
8,0,19,22.69,51.37,61.27,Oil seeds
2,19,12,24.06,40.2,34.24,Wheat
36,0,3,38.25,74.83,48.66,Sugarcane
36,0,0,40,64.51,51.07,Millets
12,3,30,35.73,71.25,45.65,Millets
40,0,2,31.33,52.44,48.45,Maize
9,17,16,32.64,71.49,45.45,Maize
19,0,18,24.83,51.23,46.97,Millets
18,0,39,30.57,73.76,66.01,Oil seeds
36,0,3,27.61,52.18,38.91,Tobacco
9,9,32,25.3,51.45,24.59,Barley
14,0,34,31.71,58.44,35.47,Pulses
6,12,13,25.28,55.82,32.12,Barley
38,0,0,29.97,58.25,31.86,Sugarcane
8,0,38,32.38,58.5,45.02,Wheat
26,0,17,30.69,59.44,51.07,Sugarcane
37,0,4,33.71,71.14,43.81,Millets
17,3,41,26.91,52.52,30.81,Cotton
20,0,22,29.32,51.48,40.11,Tobacco
9,4,12,25.99,55.37,65.56,Wheat
9,8,32,33.65,66.5,65.99,Wheat
20,2,20,29.23,55.19,29.27,Wheat
40,0,2,25.5,65.19,38.34,Oil seeds
34,2,3,26.92,56.83,44.88,Wheat
40,0,0,35.51,70.33,59.14,Paddy
28,3,16,27.1,61.29,41.14,Tobacco
0,13,16,32.66,55.25,20,Paddy
7,8,27,35.8,55.37,57.55,Maize
22,0,24,29.38,54.47,52.56,Maize
7,8,30,36.66,76.82,39.74,Millets
10,4,42,32.53,60.02,29.35,Wheat
13,0,12,32.66,74.93,33.56,Pulses
11,0,38,34.63,63.8,24.01,Maize
7,8,28,24.84,62.63,36.65,Oil seeds
16,1,16,29,44.56,33.96,Millets
21,2,19,35.26,53.82,24.93,Ground Nuts
5,5,32,33.42,55.5,64.41,Paddy
40,0,4,28.04,55.51,49.43,Wheat
22,4,26,34.9,61.86,35.47,Millets
16,1,5,22.34,53.62,38.61,Wheat
10,0,35,28.11,47.2,36.8,Paddy
4,9,24,34.35,66.79,51.52,Wheat
14,3,37,28.74,48.61,35.72,Tobacco
12,0,17,22.56,50.58,29.13,Oil seeds
28,0,14,26.95,50.63,43,Barley
25,0,19,26.39,54.79,46.15,Wheat
39,3,0,30.13,72.21,35.94,Ground Nuts
35,0,2,35.71,67.62,25.16,Pulses
19,0,40,28.88,60.85,28.57,Barley
11,0,4,27.05,44.74,56.64,Sugarcane
42,0,0,29.34,44.01,41.14,Tobacco
7,0,37,39.33,67.44,37.85,Sugarcane
8,0,40,28.53,59.01,60.57,Ground Nuts
33,3,0,23.12,58.63,37.49,Cotton
17,0,21,31.53,58.95,51.37,Paddy
8,2,9,33.55,60.65,58.59,Wheat
14,12,11,30.15,64.35,67.45,Pulses
11,4,37,39.81,63.65,63.69,Tobacco
4,11,26,34.51,52.14,70,Sugarcane
26,0,18,35.66,54.44,42.29,Sugarcane
44,0,2,25.65,62.92,28.49,Barley
36,0,0,28.51,44.09,28.38,Ground Nuts
12,0,31,30.09,54.43,60.02,Maize
10,15,20,22.27,61.81,43.11,Paddy
9,18,17,38.38,65.51,46.26,Maize
8,0,39,32.61,50.77,63.48,Ground Nuts
18,0,11,26.99,47.9,45.66,Paddy
16,0,7,29.77,63.41,50.3,Millets
13,3,41,28.27,59.38,45,Ground Nuts
24,0,29,33.5,53.07,46.85,Cotton
37,4,0,37.95,68.37,55.82,Pulses
26,3,22,25.06,64.02,38.39,Ground Nuts
14,0,35,26.79,62.91,25.01,Sugarcane
12,0,41,26.72,52.56,31.72,Paddy
21,4,21,22.39,61.19,37.56,Millets
3,6,26,30.98,72.26,70,Wheat
3,18,20,30.37,74.96,45.96,Maize
16,2,44,36.58,61.79,40.55,Maize
18,0,24,26.45,60.78,50.52,Wheat
13,0,13,25.6,52.6,54.46,Maize
35,2,0,35.57,72.13,33.41,Millets
12,0,39,33.06,60.37,69.48,Millets
17,0,21,29.39,53.28,40.12,Pulses
46,4,4,28.21,59.37,42.81,Paddy
7,4,31,35.57,60.63,45.71,Sugarcane
9,20,18,37.32,76.39,48.4,Cotton
13,2,37,40,56.27,40.77,Millets
8,3,30,39.82,70.94,30.3,Pulses
9,0,17,38.99,74.78,27.58,Paddy
36,3,3,27.9,58.51,31.93,Millets
9,12,32,33.88,68.15,42.03,Sugarcane
19,1,39,40,71.79,58.99,Sugarcane
10,0,14,30.18,53.72,36.61,Barley
33,0,0,32.53,56.27,29.85,Pulses
11,0,16,33.72,50.47,44.08,Pulses
5,11,33,31.86,51.97,62.52,Tobacco
39,4,0,34.28,52.14,44.07,Tobacco
11,0,19,25.94,60.8,62.34,Ground Nuts
23,1,21,26.63,56.66,45.46,Pulses
26,4,25,35.09,63.88,46.21,Cotton
14,2,9,32.66,59.08,54.63,Millets
34,0,0,34.76,67.48,24.8,Tobacco
18,2,40,31.21,56.6,34.03,Wheat
4,4,29,34.72,67.85,69.81,Barley
7,20,19,23.38,55.92,50.56,Wheat
34,4,0,30.14,55.49,45.37,Oil seeds
12,4,39,29.71,50.93,41.83,Wheat
8,5,27,30.88,51,46.08,Millets
19,0,25,31.28,68.41,27.47,Oil seeds
11,14,22,32.92,77.29,48.08,Paddy
16,2,40,25.87,69.73,28.7,Wheat
39,1,1,30.53,63.85,56.3,Barley
39,0,0,37.03,69.99,42.75,Paddy
8,2,17,37.38,70.59,66.29,Maize
24,0,17,28.44,55.23,33.64,Ground Nuts
25,0,19,24.57,49.59,48.59,Ground Nuts
13,17,13,25.23,48.23,21.3,Maize
12,0,44,30.98,60.86,33.37,Oil seeds
18,2,19,28.45,55.92,48.02,Cotton
14,15,14,22.21,43.72,21.74,Oil seeds
12,1,37,36.2,55.53,54.66,Sugarcane
11,1,39,32.48,64.01,50.17,Tobacco
13,3,8,29.67,60,70,Tobacco
36,0,3,30.62,59.17,45.5,Ground Nuts
16,0,33,29.51,55.64,28.32,Tobacco
8,2,11,29.64,54.26,30.97,Cotton
8,2,27,30.83,64.19,23.01,Pulses
41,0,0,34.15,50.64,39.17,Millets
7,8,27,32.54,52.1,29.86,Paddy
24,4,19,35.15,65.46,50.44,Pulses
7,0,41,32.88,70.34,29.01,Ground Nuts
35,0,0,32.26,57.08,42.58,Ground Nuts
12,4,36,28.94,60.34,31.18,Millets
45,1,0,24.61,43.14,27.28,Oil seeds
11,10,27,32.63,71.17,55.93,Millets
9,7,27,31.18,72.57,46.74,Maize
6,11,31,23.69,57.9,39.61,Cotton
41,3,0,32.48,53.65,28.91,Tobacco
26,0,14,28.7,53.21,40.31,Ground Nuts
12,9,14,32.8,71.66,44.08,Oil seeds
7,0,34,37.65,60.86,24.45,Maize
3,16,17,26.1,50.4,41.08,Oil seeds
9,0,38,31.22,74.54,61.36,Maize
13,1,37,36.78,69.9,38.86,Ground Nuts
33,0,3,38.75,58.17,52.93,Maize
1,17,12,29.13,47.06,44.06,Pulses
30,0,1,28.65,62.64,41.6,Pulses
32,0,2,20.54,40.79,56.58,Cotton
45,0,0,27.19,62.12,35.74,Cotton
41,2,0,29.74,53.77,40.06,Tobacco
10,10,15,33.98,67.67,62.06,Oil seeds
9,4,12,28.91,67.6,39.3,Pulses
10,17,15,26.09,50.03,60.84,Millets
32,0,0,29.22,54.96,70,Ground Nuts
9,18,20,27.68,66.84,28.69,Oil seeds
10,0,14,21.94,46.3,27.7,Sugarcane
9,2,39,32.27,54.7,59.44,Ground Nuts
36,0,0,29.59,47.26,67.15,Ground Nuts
37,0,0,38.97,61.93,48.53,Tobacco
36,0,0,40,63.37,45.26,Maize
6,2,36,32.81,73.39,41.77,Pulses
13,4,9,36.48,66.13,30.41,Cotton
45,4,1,31.25,67.15,42.57,Tobacco
17,0,23,24.83,57.76,31.75,Ground Nuts
19,3,33,29.72,53.18,42.19,Cotton
22,0,21,27.26,43.94,42.1,Paddy
39,0,0,34.34,55.85,27.98,Wheat
8,15,14,23.7,41.13,58.8,Ground Nuts
8,4,32,33.32,71.88,37.86,Sugarcane
38,0,0,27.34,55.87,43.75,Pulses
6,12,23,22.71,49.95,45.22,Tobacco
12,0,12,29.55,59.76,58.15,Wheat
13,5,17,33.39,53.49,50.08,Tobacco
37,0,0,31.64,68.77,39.39,Ground Nuts
16,17,7,23.18,46.72,29.53,Paddy
7,0,10,24.94,66.7,66.09,Pulses
10,17,19,21.74,44.09,59.39,Barley
35,0,0,30.28,63.74,54.26,Pulses
20,0,22,23.22,49.73,51.54,Pulses
25,3,20,29.69,47.64,46.87,Ground Nuts
15,7,16,35.79,55.43,70,Maize
10,11,26,38.68,77.89,35.76,Maize
13,0,40,34.07,60.31,40.04,Barley
22,0,22,29.16,66.79,59.72,Ground Nuts
12,2,44,36.5,69.77,62.08,Ground Nuts
7,17,13,27.05,63.35,58.77,Paddy
10,0,33,31.49,71.13,61.76,Barley
21,0,23,30.84,59.19,45.38,Wheat
9,8,25,34.3,52.7,60.28,Wheat
3,3,29,31.13,73.3,29.78,Barley
28,2,20,28.87,58.01,36.28,Tobacco
8,4,13,36.02,63.58,41.22,Tobacco
